SEASON_YEAR;LEAGUE;DIVISION;SEASON_TYPE;Player-sums-ID;Count of Data-ID ;GP;MP;PTS;2PM;2PA;3PM;3PA;FGM;FGA;FTM;FTA;DR;OR;RB;AS;ST;TO;BS;PF;EF;ORTG;DRTG;NRTG;FIC;WS;PIE;PER;STOPS;2P%;3P%;FG%;FT%;MPG;PPG;DRPG;ORPG;RPG;APG;SPG;BPG;TOPG;PFPG;EFPG;2PMPG;2PAPG;3PMPG;3PAPG;FGMPG;FGAPG;FTMPG;FTAPG;USAGE RATE;EFG%;TOV%;ORB%;FT_RATE;DRB%;REB%;EST TSA;TS%;AS_RATIO;AS_RATE;AS_TO;ST%;BS%;FIC_Gm;WS_40;Stops_Gm
20232024;NBBL;NBBL A;PLAYOFFS;20232024_NBBL_NBBL A_PLAYOFFS;118;4.3;99.0;39.8;9.9;19.2;4.0;13.6;13.8;32.8;8.1;12.4;11.4;5.6;17.0;7.5;5.2;9.5;1.6;10.2;38.3;96.0;98.6;-2.6;24.4;0.3;6.2;18.4;21.8;51.4;29.3;42.2;65.3;22.8;9.1;2.6;1.3;3.9;1.7;1.2;0.4;2.2;2.4;8.8;2.3;4.4;0.9;3.1;3.2;7.5;1.9;2.9;20.8;48.3;19.9;6.7;24.7;13.5;10.1;37.7;52.7;5.3;15.1;0.8;2.7;0.8;5.6;0.1;5.0
20232024;NBBL;NBBL A;REGULAR SEASON;20232024_NBBL_NBBL A_REGULAR SEASON;210;9.9;197.3;77.8;21.3;41.9;6.7;23.1;28.0;65.1;15.2;23.0;23.1;11.8;35.0;15.0;10.6;18.8;2.9;20.1;77.5;95.4;97.7;-2.3;49.1;0.5;4.9;18.7;43.4;50.9;28.8;43.0;66.0;20.0;7.9;2.3;1.2;3.5;1.5;1.1;0.3;1.9;2.0;7.9;2.2;4.3;0.7;2.3;2.8;6.6;1.5;2.3;20.2;48.1;20.0;6.8;23.3;13.3;10.1;74.3;52.4;5.5;15.3;0.8;2.7;0.7;5.0;0.1;4.4
20232024;NBBL;NBBL B;PLAY-DOWN;20232024_NBBL_NBBL B_PLAY-DOWN;153;5.7;129.2;49.9;13.6;28.8;4.7;17.3;18.2;46.1;8.9;14.1;17.8;8.4;26.2;10.0;6.3;11.7;2.3;12.3;49.9;92.3;92.5;-0.2;32.6;0.3;6.1;19.0;30.4;47.0;27.0;39.5;62.8;22.5;8.7;3.1;1.5;4.6;1.7;1.1;0.4;2.0;2.1;8.7;2.4;5.0;0.8;3.0;3.2;8.0;1.5;2.5;20.4;44.6;18.3;6.5;19.2;13.8;10.2;51.7;48.3;5.6;15.1;0.9;2.4;0.9;5.7;0.1;5.3
20232024;NBBL;NBBL B;REGULAR SEASON;20232024_NBBL_NBBL B_REGULAR SEASON;280;8.4;172.0;66.7;18.8;37.3;5.8;21.4;24.6;58.6;11.7;18.0;20.9;10.7;31.6;12.7;8.8;16.6;2.7;16.2;65.6;91.4;95.6;-4.3;41.9;0.4;5.1;18.0;38.7;50.4;27.3;42.0;65.0;20.6;8.0;2.5;1.3;3.8;1.5;1.1;0.3;2.0;1.9;7.9;2.2;4.5;0.7;2.6;2.9;7.0;1.4;2.2;20.2;47.0;19.9;6.8;19.9;13.3;10.1;65.8;50.7;5.4;14.8;0.8;2.5;0.8;5.0;0.1;4.6
20232024;NBBL;NBBL;SEASON;20232024_NBBL_NBBL_SEASON;525;11.8;238.0;92.1;25.3;50.6;8.2;29.3;33.4;79.9;17.1;26.3;28.9;14.6;43.5;17.8;12.2;22.5;3.7;23.4;91.1;92.9;96.3;-3.4;58.1;0.6;4.9;17.9;53.3;50.0;27.9;41.9;64.9;20.2;7.8;2.4;1.2;3.7;1.5;1.0;0.3;1.9;2.0;7.7;2.1;4.3;0.7;2.5;2.8;6.8;1.4;2.2;20.2;47.0;19.8;6.7;21.4;13.4;10.1;90.4;51.0;5.4;15.0;0.8;2.6;0.8;4.9;0.1;4.5
20232024;NBBL;NBBL;Big;20232024_NBBL_NBBL_Big;10;12.3;326.5;207.2;78.6;122.1;3.1;13.1;81.7;135.2;40.7;64.1;77.1;51.9;129.0;24.4;14.4;30.3;17.9;31.1;285.7;122.0;89.1;32.8;202.3;3.0;17.7;43.4;90.9;64.4;23.7;60.4;63.5;26.5;16.8;6.3;4.2;10.5;2.0;1.2;1.5;2.5;2.5;23.2;6.4;9.9;0.3;1.1;6.6;11.0;3.3;5.2;24.9;61.6;15.6;17.5;30.1;26.0;21.8;160.8;64.4;4.5;12.1;0.8;2.2;2.7;16.5;0.4;7.4
20232024;NBBL;NBBL;Combo;20232024_NBBL_NBBL_Combo;10;13.2;349.3;223.0;52.1;95.6;25.3;71.6;77.4;167.2;42.9;57.6;44.9;12.6;57.5;40.1;24.5;38.7;3.2;30.7;205.1;111.5;95.0;16.5;136.0;2.3;12.5;34.4;83.8;54.5;35.3;46.3;74.5;26.5;16.9;3.4;1.0;4.4;3.0;1.9;0.2;2.9;2.3;15.5;3.9;7.2;1.9;5.4;5.9;12.7;3.3;4.4;27.8;53.9;16.7;4.0;25.7;14.2;9.1;190.2;58.6;6.0;16.6;1.0;3.5;0.5;10.3;0.3;6.3
20232024;NBBL;NBBL;Forward;20232024_NBBL_NBBL_Forward;10;13.6;354.0;217.7;71.5;122.1;11.1;38.0;82.6;160.1;41.4;60.4;67.9;35.1;103.0;29.9;20.1;32.5;11.6;34.8;253.3;116.3;90.6;25.7;172.7;2.7;14.5;37.8;93.2;58.6;29.2;51.6;68.5;26.0;16.0;5.0;2.6;7.6;2.2;1.5;0.9;2.4;2.6;18.6;5.3;9.0;0.8;2.8;6.1;11.8;3.0;4.4;26.0;55.1;14.8;10.9;25.9;21.1;16.0;184.3;59.1;4.8;13.2;0.9;2.8;1.6;12.7;0.3;6.9
20232024;NBBL;NBBL;Point;20232024_NBBL_NBBL_Point;10;12;326.5;171.7;40.3;84.2;16.6;58.9;56.9;143.1;41.3;55.7;33.4;8.8;42.2;50.3;29.4;34.2;0.7;25.9;159.5;107.3;92.6;14.7;110.6;1.8;11.4;30.4;80.0;47.9;28.2;39.8;74.1;27.2;14.3;2.8;0.7;3.5;4.2;2.5;0.1;2.9;2.2;13.3;3.4;7.0;1.4;4.9;4.7;11.9;3.4;4.6;26.0;45.6;16.9;3.0;28.9;11.3;7.1;165.4;51.9;8.0;23.5;1.5;4.5;0.1;9.2;0.2;6.7
20232024;NBBL;NBBL;Wing;20232024_NBBL_NBBL_Wing;10;12.5;341.8;209.6;56.7;105.2;17.5;60.1;74.2;165.3;43.7;59.6;40.6;24.8;65.4;25.4;22.2;30.5;3.4;27.8;188.5;113.0;95.7;17.3;125.1;2.1;12.8;34.3;78.2;53.9;29.1;44.9;73.3;27.3;16.8;3.2;2.0;5.2;2.0;1.8;0.3;2.4;2.2;15.1;4.5;8.4;1.4;4.8;5.9;13.2;3.5;4.8;27.3;50.2;13.7;8.0;26.4;13.1;10.5;189.1;55.4;4.1;11.1;0.8;3.2;0.5;10.0;0.3;6.3
