FormCurve-ID;Date;Season;League;Division;Season_Type;Team_long;Opponent_long;Team;Opponent;Home;PTS;OPP_PTS
01.10.2023_2023-2024_NBBL_NBBL B_REGULAR SEASON_Würzburg Baskets Akademie_Tornados Franken;01.10.2023;2023-2024;NBBL;NBBL B;REGULAR SEASON;Würzburg Baskets Akademie;Tornados Franken;Würzburg;Nürnberg;1;78;85
01.10.2023_2023-2024_NBBL_NBBL B_REGULAR SEASON_VfL Kirchheim Knights_BBA Giants Kornwestheim;01.10.2023;2023-2024;NBBL;NBBL B;REGULAR SEASON;VfL Kirchheim Knights;BBA Giants Kornwestheim;Kirchheim;Kornwestheim;0;90;86
01.10.2023_2023-2024_NBBL_NBBL B_REGULAR SEASON_USC Heidelberg_Eintracht Frankfurt;01.10.2023;2023-2024;NBBL;NBBL B;REGULAR SEASON;USC Heidelberg;Eintracht Frankfurt;Heidelberg;Frankfurt;0;71;79
01.10.2023_2023-2024_NBBL_NBBL B_REGULAR SEASON_TS Jahn München_Orange Academy;01.10.2023;2023-2024;NBBL;NBBL B;REGULAR SEASON;TS Jahn München;Orange Academy;Jahn München;Orange;1;58;72
01.10.2023_2023-2024_NBBL_NBBL B_REGULAR SEASON_Tornados Franken_Würzburg Baskets Akademie;01.10.2023;2023-2024;NBBL;NBBL B;REGULAR SEASON;Tornados Franken;Würzburg Baskets Akademie;Nürnberg;Würzburg;0;85;78
01.10.2023_2023-2024_NBBL_NBBL B_REGULAR SEASON_TG Hanau_Team Südhessen;01.10.2023;2023-2024;NBBL;NBBL B;REGULAR SEASON;TG Hanau;Team Südhessen;TG Hanau;Südhessen;0;71;65
01.10.2023_2023-2024_NBBL_NBBL B_REGULAR SEASON_Team Südhessen_TG Hanau;01.10.2023;2023-2024;NBBL;NBBL B;REGULAR SEASON;Team Südhessen;TG Hanau;Südhessen;TG Hanau;1;65;71
01.10.2023_2023-2024_NBBL_NBBL B_REGULAR SEASON_Team Bonn/Rhöndorf_Metropol Baskets Ruhr;01.10.2023;2023-2024;NBBL;NBBL B;REGULAR SEASON;Team Bonn/Rhöndorf;Metropol Baskets Ruhr;Bonn-Rhöndorf;Metropol Ruhr;1;100;90
01.10.2023_2023-2024_NBBL_NBBL B_REGULAR SEASON_Sartorius Juniors_Basketball Löwen Erfurt;01.10.2023;2023-2024;NBBL;NBBL B;REGULAR SEASON;Sartorius Juniors;Basketball Löwen Erfurt;Göttingen;Löwen Erfurt;0;109;75
01.10.2023_2023-2024_NBBL_NBBL B_REGULAR SEASON_Rostock Seawolves_Berlin Braves Baskets;01.10.2023;2023-2024;NBBL;NBBL B;REGULAR SEASON;Rostock Seawolves;Berlin Braves Baskets;Rostock;Braves Berlin;0;64;68
01.10.2023_2023-2024_NBBL_NBBL B_REGULAR SEASON_ratiopharm Ulm_HAKRO Merlins Crailsheim;01.10.2023;2023-2024;NBBL;NBBL B;REGULAR SEASON;ratiopharm Ulm;HAKRO Merlins Crailsheim;ratiopharm Ulm;Crailsheim;1;90;64
01.10.2023_2023-2024_NBBL_NBBL B_REGULAR SEASON_Phoenix Hagen_ART Giants Düsseldorf;01.10.2023;2023-2024;NBBL;NBBL B;REGULAR SEASON;Phoenix Hagen;ART Giants Düsseldorf;Phoenix Hagen;Düsseldorf;0;72;83
01.10.2023_2023-2024_NBBL_NBBL B_REGULAR SEASON_Orange Academy_TS Jahn München;01.10.2023;2023-2024;NBBL;NBBL B;REGULAR SEASON;Orange Academy;TS Jahn München;Orange;Jahn München;0;72;58
01.10.2023_2023-2024_NBBL_NBBL B_REGULAR SEASON_Metropol Baskets Ruhr_Team Bonn/Rhöndorf;01.10.2023;2023-2024;NBBL;NBBL B;REGULAR SEASON;Metropol Baskets Ruhr;Team Bonn/Rhöndorf;Metropol Ruhr;Bonn-Rhöndorf;0;90;100
01.10.2023_2023-2024_NBBL_NBBL B_REGULAR SEASON_HAKRO Merlins Crailsheim_ratiopharm Ulm;01.10.2023;2023-2024;NBBL;NBBL B;REGULAR SEASON;HAKRO Merlins Crailsheim;ratiopharm Ulm;Crailsheim;ratiopharm Ulm;0;64;90
