SEASON;LEAGUE;DIV;SEASON_TYPE;TEAM;PLAYER;POS;ROLE;ID;EST_POS;EST_ROLE;BORN;GP;MP;PT;RB;AS;ST;BS;TO;PF;EF;DD;TD;MPG;PPG;RPG;APG;SPG;BPG;TOPG;PFPG;EFPG;PER;PIE;2PM;2PA;2P%;3PM;3PA;3P%;FGM;FGA;FG%;FTM;FTA;FT%;ORTG;DRTG;NRTG;OBPM;DBPM;BPM;VORP;OWS;DWS;WS;WS_40;FIC;FIC_Gm;AS_RATIO;AS_RATE;AS_TO;REB%;ST%;BS%;USAGE;TS%;EFG%;TOV%;ORB%;FT_RATE
20222023;NBBL;NBBL A;PLAYOFFS;Alba Berlin;Amon Levi Dörries;Forward;Creator;20222023_NBBL_NBBL A_PLAYOFFS_Alba Berlin_Amon Levi Dörries;4.4;3.0;2006;6;103.9;55;24;3;7;6;10;15;67;1;0;17.3;9.2;4.0;0.5;1.2;1.0;1.7;2.5;11.2;28.7;8.4;24;36;66.7;0;0;0.0;24;36;66.7;7;13;53.8;110.1;67.8;42.3;1.3;0.0;1.3;2.6;0.3;0.6;1.0;0.4;41.6;6.9;2.4;5.7;0.3;11.5;3.1;6.4;18.6;66.7;66.7;19.3;8.3;19.4
20222023;NBBL;NBBL A;PLAYOFFS;Alba Berlin;Anton Nufer;Combo;Neutral;20222023_NBBL_NBBL A_PLAYOFFS_Alba Berlin_Anton Nufer;2.0;3.9;2006;6;79.9;16;6;8;3;1;7;5;15;0;0;13.3;2.7;1.0;1.3;0.5;0.2;1.2;0.8;2.5;8.5;1.7;1;4;25.0;4;11;36.4;5;15;33.3;2;4;50.0;87.3;77.2;10.1;0.8;-0.2;0.7;2.2;0.0;0.4;0.4;0.2;10.5;1.8;11.1;31.4;1.1;3.7;1.7;1.4;11.1;48.2;46.7;29.5;1.3;13.3
20222023;NBBL;NBBL A;PLAYOFFS;Alba Berlin;Dorian Grosber;Forward;Receiver;20222023_NBBL_NBBL A_PLAYOFFS_Alba Berlin_Dorian Grosber;4.2;4.4;2006;6;70.7;21;26;3;7;3;10;9;34;0;0;11.8;3.5;4.3;0.5;1.2;0.5;1.7;1.5;5.7;16.3;3.6;5;15;33.3;2;7;28.6;7;22;31.8;5;6;83.3;79.4;61.0;18.4;-0.8;0.3;-0.6;1.5;-0.1;0.5;0.4;0.2;22.3;3.7;3.5;8.5;0.3;18.2;4.5;4.7;18.3;43.0;36.4;28.9;12.2;22.7
20222023;NBBL;NBBL A;PLAYOFFS;Alba Berlin;Elias José Rapieque;Point;Pure Creator;20222023_NBBL_NBBL A_PLAYOFFS_Alba Berlin_Elias José Rapieque;1.7;1.9;2004;6;126.6;64;35;28;23;2;14;15;105;1;0;21.1;10.7;5.8;4.7;3.8;0.3;2.3;2.5;17.5;38.4;15.9;18;31;58.1;4;18;22.2;22;49;44.9;16;22;72.7;113.3;55.8;57.5;4.5;3.7;8.2;7.7;0.6;1.0;1.6;0.5;78.8;13.1;12.2;35.4;2.0;13.7;8.3;1.8;21.4;55.4;49.0;19.3;6.8;32.7
20222023;NBBL;NBBL A;PLAYOFFS;Alba Berlin;Eren Simbil;Wing;Receiver;20222023_NBBL_NBBL A_PLAYOFFS_Alba Berlin_Eren Simbil;2.7;4.4;2005;5;69.4;22;9;4;1;0;6;6;11;0;0;13.9;4.4;1.8;0.8;0.2;0.0;1.2;1.2;2.2;7.5;0.6;7;17;41.2;2;9;22.2;9;26;34.6;2;4;50.0;87.5;76.1;11.4;-0.8;-1.5;-2.3;0.4;0.0;0.3;0.3;0.2;5.0;1.0;4.7;11.5;0.7;6.3;0.7;0.0;17.9;39.9;38.5;17.8;7.9;7.7
20222023;NBBL;NBBL A;PLAYOFFS;Alba Berlin;Finn-Friedrich Flasche;Big;Receiver;20222023_NBBL_NBBL A_PLAYOFFS_Alba Berlin_Finn-Friedrich Flasche;4.9;4.3;2005;2;23.6;4;8;2;1;1;4;6;7;0;0;11.8;2.0;4.0;1.0;0.5;0.5;2.0;3.0;3.5;2.1;-0.2;2;7;28.6;0;0;0.0;2;7;28.6;0;0;0.0;60.3;58.1;2.2;-3.6;0.1;-3.5;0.1;-0.1;0.2;0.1;0.1;2.3;1.1;7.2;17.5;0.5;16.3;1.8;4.6;16.3;28.6;28.6;36.3;8.8;0.0
20222023;NBBL;NBBL A;PLAYOFFS;Alba Berlin;Jack Kayil;Combo;Creator;20222023_NBBL_NBBL A_PLAYOFFS_Alba Berlin_Jack Kayil;2.4;2.3;2006;6;118.7;57;31;19;10;0;20;12;72;1;0;19.8;9.5;5.2;3.2;1.7;0.0;3.3;2.0;12.0;26.2;10.5;11;23;47.8;4;14;28.6;15;37;40.5;23;26;88.5;103.3;67.1;36.2;2.5;0.2;2.7;3.6;0.3;0.8;1.1;0.4;47.8;8.0;9.5;26.0;1.0;13.0;3.8;0.0;21.4;60.1;45.9;29.2;7.3;62.2
20222023;NBBL;NBBL A;PLAYOFFS;Alba Berlin;Jamal Entezami;Combo;Creator;20222023_NBBL_NBBL A_PLAYOFFS_Alba Berlin_Jamal Entezami;2.5;2.3;2004;6;118.2;55;26;17;9;1;15;13;75;0;0;19.7;9.2;4.3;2.8;1.5;0.2;2.5;2.2;12.5;27.5;10.8;18;30;60.0;2;6;33.3;20;36;55.6;13;15;86.7;111.3;68.9;42.5;3.0;0.5;3.5;4.2;0.4;0.7;1.1;0.4;49.1;8.2;10.0;27.6;1.1;10.9;3.5;0.9;18.2;65.5;58.3;26.0;6.4;36.1
20222023;NBBL;NBBL A;PLAYOFFS;Alba Berlin;Jannis Berger;Combo;Neutral;20222023_NBBL_NBBL A_PLAYOFFS_Alba Berlin_Jannis Berger;2.3;3.8;2004;2;23.0;8;2;2;2;0;0;3;8;0;0;11.5;4.0;1.0;1.0;1.0;0.0;0.0;1.5;4.0;19.7;2.4;4;8;50.0;0;0;0.0;4;8;50.0;0;2;0.0;105.5;85.2;20.3;-2.7;0.1;-2.6;0.6;0.0;0.1;0.1;0.2;5.5;2.8;7.9;21.4;0.0;4.2;4.0;0.0;14.9;45.5;50.0;0.0;4.4;0.0
20222023;NBBL;NBBL A;PLAYOFFS;Alba Berlin;Leo Hylla;Forward;Receiver;20222023_NBBL_NBBL A_PLAYOFFS_Alba Berlin_Leo Hylla;4.6;4.2;2006;1;6.2;0;3;0;0;0;0;0;2;0;0;6.2;0.0;3.0;0.0;0.0;0.0;0.0;0.0;2.0;6.1;1.2;0;0;0.0;0;1;0.0;0;1;0.0;0;0;0.0;73.3;56.4;17.0;-3.9;-0.1;-4.0;0.2;0.0;0.0;0.0;0.3;1.8;1.8;0.0;0.0;0.0;22.2;0.0;0.0;5.8;0.0;0.0;0.0;16.5;0.0
