PLAYER;TEAM;DIV;EST POS;POS;EST ROLE;ROLE;BORN;GP;MP;PT;RB;AS;ST;BS;TO;PF;EF;DD;TD;MP;PT;RB;AS;ST;BS;TO;PF;EF;PER;PIE;2PM;2PA;2P%;3PM;3PA;3P%;FGM;FGA;FG%;FTM;FTA;FT%;ORTG;DRTG;NRTG;OBPM;DBPM;BPM;VORP;OWS;DWS;WS;WS/40;FIC;FIC/Gm;AS RATIO;AS RATE;AS/TO;REB%;ST%;BS%;USAGE;TS%;EFG%;TOV%;ORB%;FT-RATE
Igor Jokic;Baskets Juniors Oldenburg;A;2.7;Wing;1.0;Pure Creator;2005;8;182.9;138;24;10;8;0;20;24;101;0;0;22.9;17.3;3.0;1.3;1.0;0.0;2.5;3.0;12.6;33.4;13.0;23;39;59.0;20;51;39.2;43;90;47.8;32;44;72.7;115.7;95.2;20.5;0.7;-2.1;-1.3;0.6;1.1;0.3;1.4;0.3;58.8;7.3;2.7;7.5;0.5;8.0;2.3;0.0;31.5;64.1;58.9;15.5;2.1;35.6
Jack Kayil;Young Rasta Dragons;A;1.3;Point;1.0;Pure Creator;2006;7;213.9;131;41;37;29;1;18;15;158;0;0;30.6;18.7;5.9;5.3;4.1;0.1;2.6;2.1;22.6;40.9;21.4;20;41;48.8;19;53;35.8;39;94;41.5;34;42;81.0;125.0;76.8;48.2;7.2;4.4;11.5;12.2;1.6;1.0;2.6;0.5;117.5;16.8;8.5;26.6;2.1;11.2;7.0;0.5;25.5;59.1;51.6;13.8;1.0;36.2
Ivan Kharchenkov;FC Bayern München;A;2.8;Wing;1.0;Pure Creator;2006;5;127.4;118;31;20;9;8;15;8;114;0;0;25.5;23.6;6.2;4.0;1.8;1.6;3.0;1.6;22.8;50.4;18.2;28;50;56.0;12;39;30.8;40;89;44.9;26;34;76.5;117.2;91.7;25.6;4.6;1.1;5.7;5.8;1.1;0.3;1.4;0.4;80.8;16.2;5.6;16.1;1.3;13.0;3.6;7.0;38.1;57.5;51.7;12.6;3.3;29.2
Karl Bühner;Young Rasta Dragons;A;4.5;Forward;3.5;Neutral;2005;8;239.0;104;68;10;22;14;19;20;135;3;0;29.9;13.0;8.5;1.3;2.8;1.8;2.4;2.5;16.9;27.6;12.6;20;48;41.7;18;50;36.0;38;98;38.8;10;14;71.4;105.4;81.0;24.4;5.4;1.4;6.8;8.3;0.6;0.9;1.6;0.3;99.5;12.4;2.9;8.0;0.5;16.4;4.7;6.1;21.5;50.2;48.0;15.4;11.4;10.2
Joshua Bonga;Young Rasta Dragons;A;2.2;Combo;1.8;Pure Creator;2005;6;144.3;84;25;15;8;0;20;14;72;0;0;24.1;14.0;4.2;2.5;1.3;0.0;3.3;2.3;12.0;27.6;9.3;23;35;65.7;9;34;26.5;32;69;46.4;11;14;78.6;104.0;89.9;14.1;1.4;-1.3;0.1;1.7;0.5;0.4;0.9;0.2;44.5;7.4;5.2;15.2;0.8;10.0;2.9;0.0;28.4;56.3;52.9;21.0;8.6;15.9
Tim Nocke;Baskets Juniors Oldenburg;A;4.3;Forward;3.1;Neutral;2005;8;208.8;84;51;14;6;6;28;21;85;0;0;26.1;10.5;6.4;1.8;0.8;0.8;3.5;2.6;10.6;18.7;8.5;35;67;52.2;1;6;16.7;36;73;49.3;11;22;50.0;90.2;95.1;-4.9;-0.7;-1.1;-1.8;0.1;0.0;0.3;0.4;0.1;52.5;6.6;4.3;12.3;0.5;15.0;1.5;3.5;23.7;51.3;50.0;25.3;14.3;15.1
Linus Ruf;Alba Berlin;A;5.0;Big;1.5;Pure Creator;2005;5;111.2;82;43;8;5;2;15;10;81;1;0;22.2;16.4;8.6;1.6;1.0;0.4;3.0;2.0;16.2;35.0;13.8;25;47;53.2;5;11;45.5;30;58;51.7;17;33;51.5;102.3;83.5;18.8;0.1;-1.2;-1.1;0.9;0.4;0.4;0.8;0.3;56.9;11.4;3.4;8.9;0.5;22.0;2.2;2.1;33.1;57.6;56.0;17.1;15.6;29.3
Jonathan Paul Zeisberger;KICKZ IBAM;A;1.6;Point;1.2;Pure Creator;2006;4;129.7;79;11;10;3;0;9;10;50;0;0;32.4;19.8;2.8;2.5;0.8;0.0;2.3;2.5;12.5;29.3;11.3;22;39;56.4;3;13;23.1;25;52;48.1;26;43;60.5;111.0;109.2;1.8;0.6;-0.3;0.3;1.6;0.7;-0.1;0.6;0.2;31.4;7.8;4.2;12.0;1.1;5.1;1.2;0.0;28.2;57.1;51.0;11.3;0.9;50.0
Linus Trettin;Young Rasta Dragons;A;3.0;Wing;1.6;Pure Creator;2005;6;132.9;74;31;14;7;1;17;13;78;0;0;22.2;12.3;5.2;2.3;1.2;0.2;2.8;2.2;13.0;30.9;10.6;15;25;60.0;5;19;26.3;20;44;45.5;29;37;78.4;114.1;87.2;26.9;1.5;-0.9;0.7;2.1;0.7;0.4;1.1;0.3;51.9;8.6;5.9;17.2;0.8;13.5;2.7;0.8;24.2;62.9;51.1;22.0;10.2;65.9
Esli Edigin;Porsche BBA Ludwigsburg;A;3.2;Wing;2.4;Creator;2005;5;150.3;73;28;15;7;3;20;15;70;1;0;30.1;14.6;5.6;3.0;1.4;0.6;4.0;3.0;14.0;21.7;9.7;19;29;65.5;9;29;31.0;28;58;48.3;8;14;57.1;98.4;93.1;5.3;1.0;-0.1;0.9;2.2;0.3;0.3;0.5;0.1;45.0;9.0;6.2;17.1;0.8;10.6;2.3;2.0;23.6;57.4;56.0;23.8;6.7;13.8
