PLAYER;TEAM;DIV;EST POS;POS;EST ROLE;ROLE;BORN;GP;MP;PT;RB;AS;ST;BS;TO;PF;EF;DD;TD;MP;PT;RB;AS;ST;BS;TO;PF;EF;PER;PIE;2PM;2PA;2P%;3PM;3PA;3P%;FGM;FGA;FG%;FTM;FTA;FT%;ORTG;DRTG;NRTG;OBPM;DBPM;BPM;VORP;OWS;DWS;WS;WS/40;FIC;FIC/Gm;AS RATIO;AS RATE;AS/TO;REB%;ST%;BS%;USAGE;TS%;EFG%;TOV%;ORB%;FT-RATE
Hannes Steinbach;Würzburg Baskets Akademie;B;5.0;Big;1.0;Pure Creator;2006;10;326.1;307;156;33;12;15;55;27;370;8;0;32.6;30.7;15.6;3.3;1.2;1.5;5.5;2.7;37.0;57.9;28.3;107;157;68.2;8;25;32.0;115;182;63.2;69;100;69.0;121.3;92.1;29.2;8.5;1.9;10.4;8.0;3.3;0.5;3.8;0.5;254.5;25.5;4.4;11.3;0.6;26.4;1.8;3.9;34.9;69.1;65.4;19.6;19.7;37.9
Nikola Tomic;SG Junior Löwen Braunschweig;B;4.0;Forward;1.0;Pure Creator;2005;9;312.7;303;98;40;17;17;41;20;285;6;0;34.7;33.7;10.9;4.4;1.9;1.9;4.6;2.2;31.7;54.3;26.0;105;193;54.4;19;65;29.2;124;258;48.1;36;51;70.6;110.4;87.0;23.4;10.0;1.3;11.3;8.3;2.5;0.8;3.3;0.4;193.1;21.5;4.5;12.1;1.0;18.2;2.7;5.3;42.9;54.4;51.7;12.8;9.5;14.0
Matija Milosevic;KICKZ IBAM;A;2.4;Combo;1.0;Pure Creator;2005;13;377.9;298;84;53;32;5;34;35;311;3;0;29.1;22.9;6.5;4.1;2.5;0.4;2.6;2.7;23.9;50.7;19.4;56;108;51.9;49;114;43.0;105;222;47.3;39;49;79.6;122.4;91.9;30.5;10.7;2.3;13.0;10.7;3.2;0.8;4.0;0.4;220.1;16.9;6.1;18.3;1.6;12.3;4.4;1.3;32.3;61.7;58.3;12.2;6.7;17.6
Luca Kellig;Niners Chemnitz Academy;A;2.5;Wing;1.0;Pure Creator;2006;13;394.8;289;45;23;17;2;40;32;225;1;0;30.4;22.2;3.5;1.8;1.3;0.2;3.1;2.5;17.3;39.1;14.1;73;116;62.9;28;84;33.3;101;200;50.5;59;71;83.1;116.2;108.6;7.6;4.1;-0.7;3.5;4.0;2.6;-0.3;2.3;0.2;135.4;10.4;3.0;8.3;0.6;7.0;2.3;0.5;31.3;63.3;57.5;14.7;4.3;29.5
Simon Feneberg;Tornados Franken;B;2.4;Combo;1.0;Pure Creator;2005;12;379.6;262;94;65;30;1;57;31;276;4;0;31.6;21.8;7.8;5.4;2.5;0.1;4.8;2.6;23.0;39.0;18.4;62;91;68.1;32;110;29.1;94;201;46.8;42;54;77.8;109.4;86.6;22.8;8.3;1.6;9.9;8.4;2.2;1.0;3.1;0.3;191.0;15.9;7.7;21.9;1.1;13.6;3.9;0.2;30.2;58.8;54.7;20.2;6.7;20.9
Dusan Nikolic;Eintracht Frankfurt;B;2.1;Combo;1.6;Pure Creator;2005;12;363.6;244;58;39;28;4;52;21;174;1;0;30.3;20.3;4.8;3.3;2.3;0.3;4.3;1.8;14.5;30.0;13.7;72;140;51.4;26;94;27.7;98;234;41.9;22;33;66.7;94.6;78.4;16.2;5.3;-0.3;5.0;4.8;0.8;1.4;2.2;0.2;109.9;9.2;4.6;12.6;0.8;8.4;3.8;1.1;34.2;49.4;47.4;17.3;2.0;9.4
Till Heyne;ROTH Energie BBA GIESSEN 46ers;A;1.1;Point;1.1;Pure Creator;2006;14;452.4;242;32;52;26;0;71;42;135;1;0;32.3;17.3;2.3;3.7;1.9;0.0;5.1;3.0;9.6;20.8;6.3;53;116;45.7;20;79;25.3;73;195;37.4;76;100;76.0;91.0;111.6;-20.6;-2.2;-0.6;-2.7;-0.6;0.2;-0.5;-0.3;0.0;70.0;5.0;5.8;16.1;0.7;3.9;2.9;0.0;29.1;51.5;42.6;22.9;1.7;39.0
Thore Dilschmann;UBC Münster;A;1.5;Point;1.0;Pure Creator;2006;13;405.3;241;57;49;25;0;39;29;218;1;0;31.2;18.5;4.4;3.8;1.9;0.0;3.0;2.2;16.8;32.8;13.5;70;118;59.3;18;65;27.7;88;183;48.1;47;67;70.1;108.8;98.3;10.6;4.2;0.6;4.8;5.0;1.7;0.4;2.1;0.2;145.1;11.2;6.7;18.6;1.3;7.8;3.0;0.0;26.0;57.4;53.0;15.5;3.5;25.7
Janis Jünemann;Sartorius Juniors;B;5.0;Big;1.0;Pure Creator;2005;11;281.7;236;139;30;28;14;26;29;325;8;0;25.6;21.5;12.6;2.7;2.5;1.3;2.4;2.6;29.5;60.1;22.4;84;139;60.4;1;13;7.7;85;152;55.9;65;94;69.1;127.7;74.5;53.2;10.3;1.5;11.8;8.2;3.0;1.3;4.3;0.6;236.3;21.5;4.9;13.1;1.2;27.7;4.9;5.0;30.9;62.2;56.3;11.9;21.4;42.8
Kenan Reinhart;RheinStars Köln;B;2.9;Wing;2.0;Creator;2007;9;290.3;218;61;19;16;1;25;28;164;1;0;32.3;24.2;6.8;2.1;1.8;0.1;2.8;3.1;18.2;35.3;15.0;44;108;40.7;25;75;33.3;69;183;37.7;55;67;82.1;108.4;87.8;20.6;5.7;-0.2;5.5;4.4;1.7;0.7;2.3;0.3;101.4;11.3;2.9;7.8;0.8;11.6;2.8;0.3;34.7;52.0;44.5;10.5;4.4;30.1
