TEAM;DIV;GP;MP;PT;DR;OR;RB;AS;ST;BS;TO;PF;EF;MP;PT;DR;OR;RB;AS;ST;BS;TO;PF;EF;2PM;2PA;2P%;3PM;3PA;3P%;FGM;FGA;FG%;FTM;FTA;FT%;PT;RB;AS;ST;BS;2P%;3P%;FG%;FT%;WINS;PACE;PER;PIE;ORTG;DRTG;NRTG;TS%;PPP;AS/TO;EFG%;TOV%;ORB%;FT-RATE;OPP EFG%;OPP TOV%;OPP ORB%;OPP FT-RATE
Alba Berlin;A;14;2825;1070;360;159;519;230;143;35;327;291;1027;201.8;76.4;25.7;11.4;37.1;16.4;10.2;2.5;23.4;20.8;73.4;318;661;48.1;71;263;27.0;389;924;42.1;221;329;67.2;73.4;37.7;13.5;13.4;3.6;46.4;24.7;38.1;64.6;7;84.4;13.2;53.9;89.8;86.3;3.5;50.7;0.9;0.7;45.9;23.7;31.5;23.9;42.8;22.1;33.7;21.5
ART Giants Düsseldorf;B;9;1800;622;177;101;278;116;63;27;164;211;515;200.0;69.1;19.7;11.2;30.9;12.9;7.0;3.0;18.2;23.4;57.2;159;346;46.0;62;236;26.3;221;582;38.0;118;184;64.1;86.8;37.3;16.3;8.3;3.8;57.5;28.9;48.5;65.7;2;77.8;11.7;28.8;88.8;111.5;-22.7;47.4;0.9;0.7;43.3;20.0;31.4;20.3;53.0;17.7;39.4;25.4
Bamberg freakcity academy;A;13;2625;957;303;143;446;185;91;27;247;244;861;201.9;73.6;23.3;11.0;34.3;14.2;7.0;2.1;19.0;18.8;66.2;262;532;49.2;83;289;28.7;345;821;42.0;184;306;60.1;88.3;37.2;18.4;10.8;2.7;55.0;31.1;46.2;65.5;3;79.1;13.3;37.3;92.1;110.5;-18.4;50.7;0.9;0.7;47.1;20.7;30.8;22.4;51.9;15.4;35.0;19.3
Basketball Löwen Erfurt;B;11;2200;835;301;131;432;177;119;49;253;195;808;200.0;75.9;27.4;11.9;39.3;16.1;10.8;4.5;23.0;17.7;73.5;199;464;42.9;82;280;29.3;281;744;37.8;191;279;68.5;86.3;44.1;18.8;12.2;3.6;52.8;23.5;42.4;62.1;2;87.9;13.2;43.1;86.3;98.1;-11.8;48.8;0.9;0.7;43.3;22.8;29.6;25.7;46.6;17.9;36.5;16.3
Baskets Juniors Oldenburg;A;14;2800;1115;351;202;553;226;185;41;233;330;1219;200.0;79.6;25.1;14.4;39.5;16.1;13.2;2.9;16.6;23.6;87.1;307;628;48.9;98;327;30.0;405;955;42.4;207;325;63.7;71.7;32.0;11.5;9.0;3.1;49.1;27.7;40.7;67.7;10;79.2;17.7;61.7;100.6;90.6;10.0;51.4;1.0;1.0;47.5;17.7;39.8;21.7;46.1;24.5;28.8;30.4
Baskets Paderborn;A;14;2800;1051;310;143;453;276;161;57;281;267;1153;200.0;75.1;22.1;10.2;32.4;19.7;11.5;4.1;20.1;19.1;82.4;287;562;51.1;96;294;32.7;383;856;44.7;189;280;67.5;74.3;34.9;14.7;11.9;1.9;50.9;25.2;42.6;60.0;7;78.4;16.7;55.4;95.8;94.8;1.0;54.3;1.0;1.0;50.4;22.5;32.2;22.1;46.7;21.1;37.8;17.6
Bayer Giants Leverkusen;A;14;2825;1077;344;192;536;187;162;56;297;310;988;201.8;76.9;24.6;13.7;38.3;13.4;11.6;4.0;21.2;22.1;70.6;306;622;49.2;86;335;25.7;392;957;41.0;207;375;55.2;75.6;36.6;13.9;11.2;3.4;45.6;28.0;38.9;67.7;8;83.5;13.6;49.7;91.4;89.7;1.6;48.6;0.9;0.6;45.5;21.2;36.2;21.6;44.2;22.5;33.6;25.8
BBA Giants Kornwestheim;B;10;2000;681;210;137;347;123;112;24;222;170;598;200.0;68.1;21.0;13.7;34.7;12.3;11.2;2.4;22.2;17.0;59.8;162;334;48.5;76;282;27.0;238;616;38.6;129;218;59.2;75.0;29.9;17.2;12.6;3.2;57.3;26.4;48.9;60.7;3;77.0;12.7;38.2;88.4;97.4;-9.0;48.4;0.9;0.6;44.8;24.0;39.0;20.9;52.5;21.8;28.8;19.8
BBA Hagen;B;8;1600;540;174;113;287;86;63;16;150;158;431;200.0;67.5;21.8;14.1;35.9;10.8;7.9;2.0;18.8;19.8;53.9;159;376;42.3;36;157;22.9;195;533;36.6;114;187;61.0;82.5;42.8;16.0;11.4;2.6;54.3;28.5;41.5;67.2;2;78.8;11.0;31.6;85.6;104.7;-19.0;44.4;0.9;0.6;40.0;19.8;34.7;21.4;48.6;19.2;42.6;20.9
Berlin Braves Baskets;B;13;2600;1008;317;146;463;226;176;35;205;224;1088;200.0;77.5;24.4;11.2;35.6;17.4;13.5;2.7;15.8;17.2;83.7;320;650;49.2;69;280;24.6;389;930;41.8;161;235;68.5;70.3;37.3;12.5;8.4;3.4;46.1;28.6;39.0;67.5;9;81.1;17.0;61.1;95.6;86.6;8.9;49.2;1.0;1.1;45.5;16.7;30.5;17.3;44.8;24.3;32.6;19.0
Dresden Titans;B;10;2000;622;225;128;353;118;79;38;237;187;508;200.0;62.2;22.5;12.8;35.3;11.8;7.9;3.8;23.7;18.7;50.8;176;362;48.6;48;236;20.3;224;598;37.5;126;217;58.1;78.0;34.2;14.5;13.8;2.7;45.9;33.7;42.1;70.8;1;78.3;9.7;30.2;79.5;99.7;-20.2;45.4;0.8;0.5;41.5;25.7;35.3;21.1;47.3;18.6;32.2;24.4
Eintracht Frankfurt;B;13;2625;1049;346;190;536;191;164;32;228;238;1102;201.9;80.7;26.6;14.6;41.2;14.7;12.6;2.5;17.5;18.3;84.8;288;555;51.9;98;359;27.3;386;914;42.2;179;293;61.1;64.8;35.5;11.9;8.0;2.9;43.5;28.1;38.0;58.7;11;79.5;17.4;66.9;100.6;80.8;19.8;50.9;1.0;0.8;47.6;18.1;37.5;19.6;43.0;23.4;29.4;15.4
Eisbären Bremerhaven;A;13;2600;812;310;123;433;160;128;49;359;235;663;200.0;62.5;23.8;9.5;33.3;12.3;9.8;3.8;27.6;18.1;51.0;239;524;45.6;60;248;24.2;299;772;38.7;154;241;63.9;89.5;38.2;22.5;16.5;2.4;53.0;31.3;45.3;64.5;1;84.0;8.6;25.8;74.3;106.5;-32.1;46.8;0.7;0.4;42.6;29.2;28.1;19.9;50.9;17.1;36.9;15.2
FC Bayern München;A;13;2600;1062;289;144;433;185;143;33;236;276;1034;200.0;81.7;22.2;11.1;33.3;14.2;11.0;2.5;18.2;21.2;79.5;284;556;51.1;86;309;27.8;370;865;42.8;236;327;72.2;80.1;35.0;15.7;9.8;2.2;53.7;29.3;45.8;60.1;8;81.2;16.1;50.7;100.6;98.6;2.0;53.3;1.0;0.8;47.7;19.2;31.9;27.3;50.5;20.3;33.9;23.0
HAKRO Merlins Crailsheim;B;10;2000;556;234;81;315;130;117;25;269;159;467;200.0;55.6;23.4;8.1;31.5;13.0;11.7;2.5;26.9;15.9;46.7;165;364;45.3;35;177;19.8;200;541;37.0;121;187;64.7;78.3;39.5;17.4;14.1;3.2;52.3;27.1;40.0;64.8;0;80.5;8.2;31.4;69.0;97.2;-28.2;45.1;0.7;0.5;40.2;30.4;25.4;22.4;46.6;21.6;40.2;16.5
Hamburg Towers;A;14;2800;1036;318;163;481;174;167;26;260;297;971;200.0;74.0;22.7;11.6;34.4;12.4;11.9;1.9;18.6;21.2;69.4;272;559;48.7;96;364;26.4;368;923;39.9;204;302;67.5;71.4;36.5;13.1;9.9;3.3;48.2;26.6;39.9;60.6;6;78.8;14.2;50.8;93.9;90.7;3.3;49.6;0.9;0.7;45.1;19.9;32.1;22.1;45.0;21.4;34.3;22.3
