TEAM;DIV;GP;WINS;PACE;PER;PIE;ORTG;DRTG;NRTG;TS%;PPP;AS/TO
Alba Berlin;A;6;3;82.3;14.0;52.5;90.1;92.3;-2.2;53.1;0.9;0.7
Baskets Juniors Oldenburg;A;8;5;76.6;15.0;55.8;95.7;94.4;1.3;54.2;1.0;0.7
Baskets Paderborn;A;3;1;85.2;11.7;34.0;80.5;93.1;-12.5;46.0;0.8;0.8
Bayer Giants Leverkusen;A;6;3;79.9;13.6;48.8;91.8;90.2;1.7;48.7;0.9;0.7
Berlin Braves Baskets;A;3;1;77.9;14.6;45.4;93.2;103.1;-9.8;55.8;0.9;0.6
Eintracht Frankfurt;A;2;0;70.7;13.7;36.9;96.2;114.5;-18.4;48.4;1.0;0.8
FC Bayern München;A;5;4;78.6;20.9;58.9;114.5;98.5;16.0;53.4;1.1;1.3
KICKZ IBAM;A;4;2;75.4;15.4;47.6;102.1;105.4;-3.3;53.1;1.0;0.7
Medipolis SC Jena;A;3;1;75.0;14.1;45.6;95.1;103.1;-8.0;53.7;1.0;0.9
Niners Chemnitz Academy;A;2;0;78.5;15.3;36.6;99.4;125.5;-26.1;58.6;1.0;0.9
Porsche BBA Ludwigsburg;A;5;3;81.3;17.6;55.8;100.6;92.7;7.9;54.1;1.0;0.9
Sartorius Juniors;A;3;1;76.1;12.6;38.2;94.2;102.5;-8.3;54.3;0.9;0.5
Team Urspring;A;4;2;76.0;17.4;48.8;102.6;100.6;2.0;55.4;1.0;0.9
Tornados Franken;A;3;1;82.5;13.1;41.3;87.3;98.2;-10.9;47.7;0.9;0.7
UBC Münster;A;3;1;82.7;11.9;41.9;85.1;96.4;-11.3;48.2;0.9;0.7
Young Rasta Dragons;A;8;6;78.2;19.0;62.8;105.2;88.0;17.3;52.7;1.1;0.8
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
