TEAM;DIV;GP;MP;PT;DR;OR;RB;AS;ST;BS;TO;PF;EF
Alba Berlin;A;6;200.0;74.2;26.7;9.7;36.3;16.3;11.3;2.0;23.8;20.3;74.7
Baskets Juniors Oldenburg;A;8;200.0;73.4;21.3;11.3;32.5;14.3;10.4;4.0;21.0;24.9;72.8
Baskets Paderborn;A;3;200.0;68.7;20.3;7.0;27.3;14.7;14.7;3.0;19.0;21.0;59.0
Bayer Giants Leverkusen;A;6;200.0;73.3;21.2;12.8;34.0;12.7;10.7;3.7;19.2;23.3;66.5
Berlin Braves Baskets;A;3;200.0;72.7;19.7;8.0;27.7;13.7;10.0;3.7;21.3;17.0;69.7
Eintracht Frankfurt;A;2;200.0;68.0;19.0;10.5;29.5;10.0;7.0;2.0;13.0;21.0;58.0
FC Bayern München;A;5;200.0;90.0;26.2;15.0;41.2;17.0;9.8;4.0;12.6;27.4;101.4
KICKZ IBAM;A;4;200.0;77.0;21.5;9.5;31.0;8.5;7.0;2.5;13.0;20.5;67.3
Medipolis SC Jena;A;3;200.0;71.3;22.7;7.7;30.3;17.3;6.0;0.7;19.0;19.0;67.7
Niners Chemnitz Academy;A;2;200.0;78.0;22.5;6.5;29.0;16.0;4.5;2.0;18.0;17.0;72.0
Porsche BBA Ludwigsburg;A;5;200.0;81.8;22.6;12.4;35.0;17.4;12.0;3.4;18.6;20.0;84.0
Sartorius Juniors;A;3;200.0;71.7;19.7;10.7;30.3;11.0;8.3;3.3;23.7;22.0;59.3
Team Urspring;A;4;200.0;78.0;20.8;10.0;30.8;15.5;9.8;3.8;16.8;20.5;77.8
Tornados Franken;A;3;200.0;72.0;24.3;12.3;36.7;17.0;12.7;1.7;23.0;19.0;67.3
UBC Münster;A;3;200.0;70.3;24.0;10.7;34.7;16.0;8.3;4.0;23.0;16.7;61.7
Young Rasta Dragons;A;8;200.0;82.3;25.0;15.4;40.4;14.9;12.8;4.3;17.6;20.5;90.0
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
