TEAM;DIV;GP;EFG%;TOV%;ORB%;FTR;OPP EFG%;OPP TOV%;OPP ORB%;OPP FTR;;
Alba Berlin;A;14;45.9;23.7;31.5;23.9;42.8;22.1;33.7;21.5;;
ART Giants Düsseldorf;A;9;43.3;20.0;31.4;20.3;53.0;17.7;39.4;25.4;;
Bamberg freakcity academy;A;13;47.1;20.7;30.8;22.4;51.9;15.4;35.0;19.3;;
Basketball Löwen Erfurt;A;11;43.3;22.8;29.6;25.7;46.6;17.9;36.5;16.3;;
Baskets Juniors Oldenburg;A;14;47.5;17.7;39.8;21.7;46.1;24.5;28.8;30.4;;
Baskets Paderborn;A;14;50.4;22.5;32.2;22.1;46.7;21.1;37.8;17.6;;
Bayer Giants Leverkusen;A;14;45.5;21.2;36.2;21.6;44.2;22.5;33.6;25.8;;
BBA Giants Kornwestheim;A;10;44.8;24.0;39.0;20.9;52.5;21.8;28.8;19.8;;
BBA Hagen;A;8;40.0;19.8;34.7;21.4;48.6;19.2;42.6;20.9;;
Berlin Braves Baskets;A;13;45.5;16.7;30.5;17.3;44.8;24.3;32.6;19.0;;
Dresden Titans;A;10;41.5;25.7;35.3;21.1;47.3;18.6;32.2;24.4;;
Eintracht Frankfurt;A;13;47.6;18.1;37.5;19.6;43.0;23.4;29.4;15.4;;
Eisbären Bremerhaven;A;13;42.6;29.2;28.1;19.9;50.9;17.1;36.9;15.2;;
FC Bayern München;A;13;47.7;19.2;31.9;27.3;50.5;20.3;33.9;23.0;;
HAKRO Merlins Crailsheim;A;10;40.2;30.4;25.4;22.4;46.6;21.6;40.2;16.5;;
Hamburg Towers;A;14;45.1;19.9;32.1;22.1;45.0;21.4;34.3;22.3;;
KICKZ IBAM;A;14;50.8;16.9;34.6;22.4;46.8;17.8;31.0;25.3;;
Medipolis SC Jena;A;14;51.4;20.9;36.6;28.4;49.8;22.6;28.2;22.5;;
Metropol Baskets Ruhr;A;8;52.9;21.3;39.8;18.9;45.8;21.0;31.6;28.6;;
Niners Chemnitz Academy;A;13;50.7;20.5;30.3;27.6;50.3;17.4;41.5;18.9;;
Orange Academy;A;9;44.8;20.6;31.8;17.4;39.2;19.0;38.6;17.2;;
Phoenix Hagen;A;9;44.4;20.1;24.3;22.5;44.2;14.9;43.6;18.0;;
Porsche BBA Ludwigsburg;A;14;50.8;17.3;37.8;18.1;45.5;20.9;32.4;23.9;;
ratiopharm Ulm;A;11;50.6;16.6;38.7;19.0;45.2;23.6;31.3;20.3;;
RheinStars Köln;A;10;48.1;16.1;37.8;22.3;44.9;20.0;30.5;19.2;;
Rostock Seawolves;A;10;47.6;20.6;30.2;16.6;50.1;17.9;37.4;17.5;;
ROTH Energie BBA GIESSEN 46ers;A;14;44.8;19.9;32.5;26.1;49.8;18.0;43.8;26.9;;
Sartorius Juniors;A;11;50.4;16.8;41.3;23.7;44.8;21.8;26.5;21.1;;
SG Junior Löwen Braunschweig;A;10;50.3;19.8;34.1;14.8;46.4;22.1;33.2;23.2;;
Team Bonn/Rhöndorf;A;13;48.8;18.9;39.2;27.0;44.1;20.4;25.3;23.2;;
Team Südhessen;A;10;44.2;20.8;24.5;13.9;50.1;23.5;35.0;23.5;;
Team Urspring;A;13;49.3;19.6;38.6;19.7;47.6;22.6;26.8;32.7;;
TG Hanau;A;10;45.6;21.4;28.8;18.1;52.6;16.1;38.7;19.3;;
Tornados Franken;A;13;50.2;18.6;37.3;18.7;46.7;22.0;33.3;16.8;;
TS Jahn München;A;10;43.2;19.9;33.1;17.5;44.1;22.9;35.9;17.3;;
UBC Münster;A;13;47.7;18.8;29.3;22.9;48.3;19.3;30.7;24.5;;
USC Heidelberg;A;10;47.2;21.2;33.8;18.9;48.7;21.9;34.0;17.4;;
VfL Kirchheim Knights;A;14;47.0;19.1;34.9;14.0;46.5;17.9;31.9;20.9;;
Würzburg Baskets Akademie;A;10;52.5;23.2;39.2;25.5;47.4;16.5;32.1;19.5;;
Young Rasta Dragons;A;14;48.1;19.7;36.5;22.4;49.1;24.4;30.7;21.4;;
