TEAM;DIV;GP;2PM;2PA;2P%;3PM;3PA;3P%;FGM;FGA;FG%;FTM;FTA;FT%
Alba Berlin;A;6;122;250;48.8;33;110;30.0;155;360;43.1;102;147;69.4
Baskets Juniors Oldenburg;A;8;155;291;53.3;52;175;29.7;207;466;44.4;121;188;64.4
Baskets Paderborn;A;3;52;113;46.0;24;89;27.0;76;202;37.6;30;55;54.5
Bayer Giants Leverkusen;A;6;125;256;48.8;33;136;24.3;158;392;40.3;91;149;61.1
Berlin Braves Baskets;A;3;60;117;51.3;16;51;31.4;76;168;45.2;50;68;73.5
Eintracht Frankfurt;A;2;37;72;51.4;13;53;24.5;50;125;40.0;23;39;59.0
FC Bayern München;A;5;128;227;56.4;40;154;26.0;168;381;44.1;74;101;73.3
KICKZ IBAM;A;4;71;147;48.3;29;95;30.5;100;242;41.3;79;120;65.8
Medipolis SC Jena;A;3;50;105;47.6;22;69;31.9;72;174;41.4;48;63;76.2
Niners Chemnitz Academy;A;2;46;74;62.2;13;39;33.3;59;113;52.2;25;50;50.0
Porsche BBA Ludwigsburg;A;5;93;168;55.4;48;159;30.2;141;327;43.1;79;128;61.7
Sartorius Juniors;A;3;47;88;53.4;23;77;29.9;70;165;42.4;52;82;63.4
Team Urspring;A;4;73;135;54.1;37;109;33.9;110;244;45.1;55;94;58.5
Tornados Franken;A;3;57;131;43.5;20;68;29.4;77;199;38.7;42;69;60.9
UBC Münster;A;3;54;109;49.5;21;82;25.6;75;191;39.3;40;70;57.1
Young Rasta Dragons;A;8;148;290;51.0;75;260;28.8;223;550;40.5;137;185;74.1
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
