TEAM;DIV;GP;WINS;PACE;PER;PIE;ORTG;DRTG;NRTG;TS%;PPP;AS/TO
Alba Berlin;A;14;7;84.4;13.2;53.9;89.8;86.3;3.5;50.7;0.9;0.7
ART Giants Düsseldorf;B;9;2;77.8;11.7;28.8;88.8;111.5;-22.7;47.4;0.9;0.7
Bamberg freakcity academy;A;13;3;79.1;13.3;37.3;92.1;110.5;-18.4;50.7;0.9;0.7
Basketball Löwen Erfurt;B;11;2;87.9;13.2;43.1;86.3;98.1;-11.8;48.8;0.9;0.7
Baskets Juniors Oldenburg;A;14;10;79.2;17.7;61.7;100.6;90.6;10.0;51.4;1.0;1.0
Baskets Paderborn;A;14;7;78.4;16.7;55.4;95.8;94.8;1.0;54.3;1.0;1.0
Bayer Giants Leverkusen;A;14;8;83.5;13.6;49.7;91.4;89.7;1.6;48.6;0.9;0.6
BBA Giants Kornwestheim;B;10;3;77.0;12.7;38.2;88.4;97.4;-9.0;48.4;0.9;0.6
BBA Hagen;B;8;2;78.8;11.0;31.6;85.6;104.7;-19.0;44.4;0.9;0.6
Berlin Braves Baskets;B;13;9;81.1;17.0;61.1;95.6;86.6;8.9;49.2;1.0;1.1
Dresden Titans;B;10;1;78.3;9.7;30.2;79.5;99.7;-20.2;45.4;0.8;0.5
Eintracht Frankfurt;B;13;11;79.5;17.4;66.9;100.6;80.8;19.8;50.9;1.0;0.8
Eisbären Bremerhaven;A;13;1;84.0;8.6;25.8;74.3;106.5;-32.1;46.8;0.7;0.4
FC Bayern München;A;13;8;81.2;16.1;50.7;100.6;98.6;2.0;53.3;1.0;0.8
HAKRO Merlins Crailsheim;B;10;0;80.5;8.2;31.4;69.0;97.2;-28.2;45.1;0.7;0.5
Hamburg Towers;A;14;6;78.8;14.2;50.8;93.9;90.7;3.3;49.6;0.9;0.7
KICKZ IBAM;A;14;9;76.5;18.9;58.5;107.4;98.5;8.9;54.8;1.1;1.0
Medipolis SC Jena;A;14;7;81.5;18.0;57.9;103.2;94.7;8.5;56.1;1.0;0.9
Metropol Baskets Ruhr;B;8;5;84.4;18.1;61.5;104.6;94.5;10.1;56.0;1.0;0.9
Niners Chemnitz Academy;A;13;6;76.0;15.0;43.8;101.1;107.4;-6.3;55.6;1.0;0.7
Orange Academy;B;9;5;78.1;14.5;56.0;88.7;86.3;2.4;47.7;0.9;0.8
Phoenix Hagen;B;9;3;79.0;11.9;38.8;88.6;103.2;-14.6;49.3;0.9;0.5
Porsche BBA Ludwigsburg;A;14;10;79.7;20.0;61.2;106.8;92.5;14.3;53.9;1.1;1.2
ratiopharm Ulm;B;11;9;80.0;20.5;65.2;108.5;86.2;22.3;54.1;1.1;1.1
RheinStars Köln;B;10;9;76.7;18.5;60.1;105.6;91.3;14.3;52.5;1.1;1.2
Rostock Seawolves;B;10;4;82.8;13.5;38.9;93.8;105.1;-11.4;50.9;0.9;0.7
ROTH Energie BBA GIESSEN 46ers;A;14;3;80.3;12.9;34.8;92.2;110.5;-18.3;49.7;0.9;0.7
Sartorius Juniors;B;11;10;81.1;20.4;67.6;111.9;86.6;25.3;55.0;1.1;1.1
SG Junior Löwen Braunschweig;B;10;6;79.8;16.1;55.2;99.5;92.2;7.3;52.7;1.0;0.7
Team Bonn/Rhöndorf;B;13;8;82.2;17.1;64.6;105.0;87.3;17.8;54.0;1.1;0.7
Team Südhessen;B;10;2;83.3;11.8;38.4;84.0;94.6;-10.6;46.5;0.8;0.6
Team Urspring;A;13;8;75.8;17.2;53.8;102.2;93.7;8.5;52.7;1.0;1.0
TG Hanau;B;10;3;79.8;11.7;34.0;87.9;110.0;-22.0;48.8;0.9;0.6
Tornados Franken;B;13;10;82.2;18.1;59.3;103.3;91.3;12.0;53.2;1.0;1.0
TS Jahn München;B;10;6;77.3;14.2;50.2;89.2;87.0;2.2;46.6;0.9;0.8
UBC Münster;A;13;6;81.7;15.0;47.0;96.6;97.8;-1.2;51.6;1.0;0.7
USC Heidelberg;B;10;3;85.4;14.0;46.1;92.8;94.2;-1.4;50.7;0.9;0.6
VfL Kirchheim Knights;B;14;7;76.3;15.5;48.6;96.4;95.8;0.6;49.5;1.0;1.0
Würzburg Baskets Akademie;B;10;6;83.4;15.9;52.7;101.1;101.1;0.0;56.5;1.0;0.7
Young Rasta Dragons;A;14;10;78.2;17.0;55.9;101.9;90.3;11.6;52.8;1.0;0.7
