TEAM;DIV;GP;PT;RB;AS;ST;BS;2P%;3P%;FG%;FT%
Alba Berlin;A;14;73.4;37.7;13.5;13.4;3.6;46.4;24.7;38.1;64.6
ART Giants Düsseldorf;B;9;86.8;37.3;16.3;8.3;3.8;57.5;28.9;48.5;65.7
Bamberg freakcity academy;A;13;88.3;37.2;18.4;10.8;2.7;55.0;31.1;46.2;65.5
Basketball Löwen Erfurt;B;11;86.3;44.1;18.8;12.2;3.6;52.8;23.5;42.4;62.1
Baskets Juniors Oldenburg;A;14;71.7;32.0;11.5;9.0;3.1;49.1;27.7;40.7;67.7
Baskets Paderborn;A;14;74.3;34.9;14.7;11.9;1.9;50.9;25.2;42.6;60.0
Bayer Giants Leverkusen;A;14;75.6;36.6;13.9;11.2;3.4;45.6;28.0;38.9;67.7
BBA Giants Kornwestheim;B;10;75.0;29.9;17.2;12.6;3.2;57.3;26.4;48.9;60.7
BBA Hagen;B;8;82.5;42.8;16.0;11.4;2.6;54.3;28.5;41.5;67.2
Berlin Braves Baskets;B;13;70.3;37.3;12.5;8.4;3.4;46.1;28.6;39.0;67.5
Dresden Titans;B;10;78.0;34.2;14.5;13.8;2.7;45.9;33.7;42.1;70.8
Eintracht Frankfurt;B;13;64.8;35.5;11.9;8.0;2.9;43.5;28.1;38.0;58.7
Eisbären Bremerhaven;A;13;89.5;38.2;22.5;16.5;2.4;53.0;31.3;45.3;64.5
FC Bayern München;A;13;80.1;35.0;15.7;9.8;2.2;53.7;29.3;45.8;60.1
HAKRO Merlins Crailsheim;B;10;78.3;39.5;17.4;14.1;3.2;52.3;27.1;40.0;64.8
Hamburg Towers;A;14;71.4;36.5;13.1;9.9;3.3;48.2;26.6;39.9;60.6
KICKZ IBAM;A;14;75.4;33.8;13.1;7.2;2.5;45.3;32.8;40.6;65.9
Medipolis SC Jena;A;14;77.2;31.5;16.1;11.1;2.5;48.9;33.9;42.3;66.3
Metropol Baskets Ruhr;B;8;79.8;31.6;11.4;9.9;2.6;47.6;28.1;41.1;73.1
Niners Chemnitz Academy;A;13;81.6;35.6;14.5;10.0;3.5;54.0;29.0;45.3;65.9
Orange Academy;B;9;67.3;41.6;13.4;10.9;2.1;43.7;21.3;35.2;61.6
Phoenix Hagen;B;9;82.7;45.4;17.0;8.8;2.8;49.6;21.1;41.1;69.2
Porsche BBA Ludwigsburg;A;14;73.7;34.3;14.7;9.9;1.9;48.4;25.7;41.6;66.2
ratiopharm Ulm;B;11;68.9;33.5;14.5;9.5;3.1;47.4;27.9;39.9;61.0
RheinStars Köln;B;10;70.9;33.7;14.4;7.7;3.1;48.3;25.9;40.1;63.5
Rostock Seawolves;B;10;87.0;40.4;17.7;11.8;3.9;55.3;29.1;43.7;65.2
ROTH Energie BBA GIESSEN 46ers;A;14;89.6;40.9;18.3;10.8;3.6;54.5;27.5;45.0;68.7
Sartorius Juniors;B;11;71.0;31.0;12.5;9.1;2.4;50.1;23.8;40.4;66.2
SG Junior Löwen Braunschweig;B;10;74.5;33.8;13.6;9.3;3.8;48.4;28.6;41.3;67.7
Team Bonn/Rhöndorf;B;13;71.7;29.8;11.9;7.0;2.5;47.4;25.0;39.9;66.0
Team Südhessen;B;10;78.8;40.2;15.2;10.2;2.9;53.1;30.0;44.4;63.3
Team Urspring;A;13;71.0;30.1;13.6;9.2;2.1;53.4;26.2;42.3;72.4
TG Hanau;B;10;87.8;38.6;12.6;11.0;2.7;55.0;32.1;47.1;59.4
Tornados Franken;B;13;75.8;36.2;13.2;7.8;2.5;50.9;25.6;42.4;66.1
TS Jahn München;B;10;67.2;38.9;14.1;9.8;4.8;48.7;24.7;39.2;61.5
UBC Münster;A;13;80.7;37.2;15.3;9.5;3.5;49.9;29.5;43.9;71.4
USC Heidelberg;B;10;80.4;38.7;17.3;12.4;2.5;52.4;27.6;44.1;57.0
VfL Kirchheim Knights;B;14;73.1;34.9;16.0;10.1;3.6;47.8;29.5;41.1;63.3
Würzburg Baskets Akademie;B;10;84.3;32.6;14.9;13.6;2.6;52.8;25.0;43.0;65.8
Young Rasta Dragons;A;14;71.2;32.8;13.9;9.9;3.3;52.9;26.9;45.0;60.6
