TEAM;DIV;GP;MP;PT;DR;OR;RB;AS;ST;BS;TO;PF;EF
Alba Berlin;A;14;2825;1070;360;159;519;230;143;35;327;291;1027
ART Giants Düsseldorf;B;9;1800;622;177;101;278;116;63;27;164;211;515
Bamberg freakcity academy;A;13;2625;957;303;143;446;185;91;27;247;244;861
Basketball Löwen Erfurt;B;11;2200;835;301;131;432;177;119;49;253;195;808
Baskets Juniors Oldenburg;A;14;2800;1115;351;202;553;226;185;41;233;330;1219
Baskets Paderborn;A;14;2800;1051;310;143;453;276;161;57;281;267;1153
Bayer Giants Leverkusen;A;14;2825;1077;344;192;536;187;162;56;297;310;988
BBA Giants Kornwestheim;B;10;2000;681;210;137;347;123;112;24;222;170;598
BBA Hagen;B;8;1600;540;174;113;287;86;63;16;150;158;431
Berlin Braves Baskets;B;13;2600;1008;317;146;463;226;176;35;205;224;1088
Dresden Titans;B;10;2000;622;225;128;353;118;79;38;237;187;508
Eintracht Frankfurt;B;13;2625;1049;346;190;536;191;164;32;228;238;1102
Eisbären Bremerhaven;A;13;2600;812;310;123;433;160;128;49;359;235;663
FC Bayern München;A;13;2600;1062;289;144;433;185;143;33;236;276;1034
HAKRO Merlins Crailsheim;B;10;2000;556;234;81;315;130;117;25;269;159;467
Hamburg Towers;A;14;2800;1036;318;163;481;174;167;26;260;297;971
KICKZ IBAM;A;14;2800;1150;351;167;518;216;138;52;213;291;1256
Medipolis SC Jena;A;14;2800;1178;336;178;514;263;158;35;278;272;1258
Metropol Baskets Ruhr;B;8;1600;706;197;107;304;153;86;35;171;180;773
Niners Chemnitz Academy;A;13;2600;999;264;120;384;156;103;17;232;265;908
Orange Academy;B;9;1800;623;231;107;338;133;81;65;169;154;655
Phoenix Hagen;B;9;1825;639;211;79;290;88;61;26;163;161;543
Porsche BBA Ludwigsburg;A;14;2800;1191;347;191;538;275;174;66;231;270;1362
ratiopharm Ulm;B;11;2200;954;266;156;422;195;146;42;175;206;1086
RheinStars Köln;B;10;2025;820;244;140;384;175;86;26;150;189;871
Rostock Seawolves;B;10;2000;776;239;113;352;134;80;20;197;187;697
ROTH Energie BBA GIESSEN 46ers;A;14;2825;1046;292;166;458;175;121;22;261;310;897
Sartorius Juniors;B;11;2225;1009;283;168;451;209;126;29;185;220;1108
SG Junior Löwen Braunschweig;B;10;2025;804;241;113;354;130;108;39;188;190;813
Team Bonn/Rhöndorf;B;13;2600;1122;334;177;511;171;137;38;243;298;1125
Team Südhessen;B;10;2000;700;219;92;311;121;127;26;197;204;609
Team Urspring;A;13;2600;1007;290;179;469;226;136;30;233;292;1061
TG Hanau;B;10;2000;702;215;101;316;116;76;25;196;190;584
Tornados Franken;B;13;2625;1115;310;187;497;234;153;34;240;238;1169
TS Jahn München;B;10;2000;689;236;127;363;154;118;25;184;174;670
UBC Münster;A;13;2625;1036;318;142;460;171;129;35;233;259;984
USC Heidelberg;B;10;2000;792;252;131;383;126;111;24;210;200;743
VfL Kirchheim Knights;B;14;2800;1029;342;176;518;245;111;38;246;261;1052
Würzburg Baskets Akademie;B;10;2000;843;273;127;400;151;69;33;226;191;848
Young Rasta Dragons;A;14;2825;1125;305;186;491;195;177;39;262;264;1135
