Player;Assists
Simon Feneberg;7.7
Tom Brüggemann;6.7
Philip Schneck;6.0
Edwin Krzeminski;6.0
Finn Schwaiger;5.7
Jack Kayil;5.3
Travis Davis;5.0
Julis Baumer;4.8
Calin Nita;4.5
Lennard Glowka;4.5
Simon Kohlhoff;4.1
Ivan Kharchenkov;4.0
Emanuel Mpacko;3.7
Joscha Eckert;3.7
Raphael Falkenthal;3.5
Jared Grey;3.5
Jorke Aav;3.3
Lukas Mutter;3.2
Lars Kremer;3.2
Aksel Laso;3.0
Anton Nufer;3.0
Dorian Grosber;3.0
Jamie Camron Edoka;3.0
Thore Dilschmann;3.0
Esli Edigin;3.0
Miran Evin;2.9
Janis Jünemann;2.7
Paul Viefhues;2.5
Jermaine Fleck;2.5
Jonathan Paul Zeisberger;2.5
Joscha Zentgraf;2.5
Joshua Bonga;2.5
Dusan Nikolic;2.5
Luka Pesic;2.4
Gaston Nguyen Manh;2.3
Viktor Ludviksson;2.3
Linus Trettin;2.3
Martin Geuther;2.3
Raul Dumnici;2.0
Johann Grünloh;2.0
Richard Schmitt;2.0
Desmond Yiamu;2.0
Hendrik Metsa;2.0
Tim Otto;2.0
Oskar Humpert;2.0
Ben Lenhardt;2.0
Leon Anbinder;2.0
Moritz Grüß;1.8
Jenö Pildner;1.8
Tim Nocke;1.8
Matija Milosevic;1.8
Callum Macaulay;1.8
Johann Grau;1.7
Mats Niggemann;1.7
Edin Redzepovic;1.7
Joshua Sievers;1.7
Jannis Ridder;1.7
Marko Masic;1.6
Martin Kalu;1.6
Dre Odeh;1.6
Linus Ruf;1.6
Alfred Milatz;1.5
Amon Levi Dörries;1.5
Sebastian Schwachhofer;1.4
Abdulhay Kömürkara;1.4
Noah Slingerland;1.4
Joel Mbappou;1.3
Clemens Sokolov;1.3
Daniel Biel;1.3
Ben-Luca Port;1.3
Karl Bühner;1.3
Leon Amadou Geißler;1.3
Noah Koch;1.3
Igor Jokic;1.3
Lazar Klaric;1.2
Silver Bieling;1.0
Nicola Schultze;1.0
Julijo Kendes;1.0
Ben Denkena;1.0
Johann Helwig;1.0
Leif Zentgraf;1.0
Jug Bogdan;1.0
Andrej Milutinovic;1.0
Namori Omog;1.0
Caspar Chima Okoro;1.0
Paul Levi Urban;1.0
Jannis Grußendorf;1.0
Ruomi Walter;1.0
Luca Kellig;1.0
Stanislav Hinkov;1.0
Lukas Modic;1.0
Tobias Drochner;1.0
Jayson Roth;1.0
Ivan Crnjac;1.0
Mathéo Hermann;1.0
Nevio Bennefeld;1.0
Moek Icke;0.8
Ivan Volf;0.8
Daniel Riedrich;0.8
Elias Nold;0.7
Pablo Schmidt;0.7
Erik Larsen;0.7
Maximilian zur Linde;0.7
Jasper Brand;0.7
Noah-Oliver Okah;0.7
Darijo Kopilovic;0.7
Jonas Pohle;0.7
Maxim Klanten;0.7
Lukas Wiegeler;0.7
Giuliano Aufiero;0.7
Bennett Spree;0.7
Jakob Lang;0.7
Marijan Krstonic;0.7
Michel Schillmöller;0.6
Paul Manuel Raabe;0.6
Matteo Petters;0.6
Leo Hylla;0.6
Nikolas Sermpezis;0.6
Marko Petric;0.6
Marvin Eßer;0.5
Tim Schnelle;0.5
Muhamad-Adel Soumare Medford;0.5
Jeremy Julian Kolev;0.5
Jarne Jürgens;0.5
Jakub Klobusiak;0.5
Benjamin Koppke;0.5
Alen Blakaj;0.5
Djairo Bernardina;0.4
Jeremey Jason Wontroba;0.3
Timon Hoffmann;0.3
Teis Hümmels;0.3
Niklas Müller;0.3
Colin Schroeder;0.3
Philipp Roos;0.3
Max Emil Weber;0.3
John Hubertus Kropp;0.3
Henrik Besch;0.3
Leonard Dertmann;0.3
Niels Dübener;0.3
Paul Bahn;0.3
Emil Bode;0.3
David Koch;0.3
Johannes Hellmann;0.3
Ognjen Cocic;0.3
Leonhard Laar;0.3
Paul Schmorleiz;0.3
Leander Nzume;0.1
Luca May;0.0
Leopold Schmidt;0.0
Yannis Steger;0.0
Lukas Klein;0.0
Olisaemeka Williams Itumo;0.0
Colin Hartig;0.0
Tim-Felix Bühren;0.0
