Player;Assists
Tin Udovicic;8.7
Tom Brüggemann;6.6
Viktor Lukic-Gavric;6.0
Travis Davis;4.8
Jorke Aav;4.5
Jonathan Paul Zeisberger;4.2
Nelson Martin;4.2
Kristian Ortelli;4.1
Matija Milosevic;4.1
Anton Meyer;4.1
Ivan Volf;4.0
Raphael Falkenthal;4.0
Finn Schwaiger;3.9
Leon Anbinder;3.8
Thore Dilschmann;3.8
Till Heyne;3.7
Lars Kremer;3.6
Dorian Grosber;3.6
Calin Nita;3.6
Danylo Kolesnichenko;3.6
Jack Kayil;3.6
Joshua Bonga;3.6
Aksel Laso;3.5
Anton Nufer;3.4
Martin Geuther;3.3
Jared Grey;3.1
Philip Schneck;3.1
Simon Kohlhoff;3.1
Ben-Luca Port;3.1
Ivan Kharchenkov;3.0
Jan Dübener;3.0
#5 Bamberg;3.0
Lukas Modic;2.9
Noé Bom;2.9
Dominik Dolic;2.8
Julis Baumer;2.8
Jannis Grußendorf;2.7
Danas Kazakevicius;2.7
Miran Evin;2.7
Hendrik Metsa;2.7
Lazar Klaric;2.6
Esli Edigin;2.6
Linus Trettin;2.5
Lennard Glowka;2.5
Radouan Aberkane;2.4
Stanislav Hinkov;2.3
Julian Günther;2.3
Neo Krizanovic;2.2
Abdulhay Kömürkara;2.2
Noah Slingerland;2.2
Epke Kruthaup;2.2
Damarae Osazuwa Simson;2.2
Marko Masic;2.2
Edwin Krzeminski;2.1
Lukas Mutter;2.0
Paul Manuel Raabe;2.0
Christian Mann;2.0
Michel Schillmöller;2.0
Jannis Ridder;2.0
Oskar Humpert;2.0
Darren Egbe;2.0
Elias Nold;2.0
Luka Pesic;2.0
Martin Kalu;2.0
Finn Paris;1.9
David Sann;1.9
Niels Dübener;1.9
Paul Bahn;1.9
Nikolas Sermpezis;1.8
Mats Niggemann;1.8
Sebastian Schwachhofer;1.8
Karl Bühner;1.8
Luca Kellig;1.8
Alfred Milatz;1.8
Karl Haring;1.8
Timon Gotsis;1.7
Linus Ruf;1.7
Viktor Ludviksson;1.7
Daniel Obehi Mack;1.7
Jeremy Julian Kolev;1.6
Jannis Rümer;1.6
Richard Schmitt;1.6
Bruno Jacob Wollmann;1.6
Denzel Mota;1.6
Igor Jokic;1.6
Silian Felix Bonacker;1.6
Didier Alphonse Mbida Mengue;1.5
Sebastian Kuhn;1.5
Clemens Bialas;1.5
Johann Helwig;1.5
Moritz Grüß;1.5
