Player;Assists
Simon Kohlhoff;6.0
Jack Kayil;5.0
Julis Baumer;4.0
Miran Evin;3.0
Ivan Kharchenkov;3.0
Esli Edigin;3.0
Linus Trettin;2.5
Joshua Bonga;2.5
Igor Jokic;2.0
Martin Kalu;2.0
Desmond Yiamu;2.0
Johann Grünloh;1.5
Moek Icke;1.0
Lukas Modic;1.0
Luka Pesic;1.0
Ivan Volf;1.0
Nikolas Sermpezis;1.0
Marko Petric;1.0
Dominik Dolic;1.0
Djairo Bernardina;1.0
Leander Nzume;1.0
Noah Slingerland;1.0
Stanislav Hinkov;1.0
Abdulhay Kömürkara;1.0
Michel Schillmöller;0.5
Tim Nocke;0.5
Colin Schroeder;0.5
Johann Helwig;0.5
Ben Denkena;0.5
Lazar Klaric;0.5
Karl Bühner;0.5
Sebastian Schwachhofer;0.0
Jarne Jürgens;0.0
Matteo Petters;0.0
Elias Nold;0.0
Sebastian Kuhn;0.0
Moritz Grüß;0.0
Johannes Hellmann;0.0
Marko Masic;0.0
Jannis Grußendorf;0.0
Noah Koch;0.0
Bennett Spree;0.0
