Player;Blocks
Johann Grünloh;4.3
Paul Viefhues;2.0
Karl Bühner;1.8
Ivan Kharchenkov;1.6
Simon Kohlhoff;1.6
Leon Amadou Geißler;1.5
Joel Mbappou;1.3
Jannis Ridder;1.3
Yannis Steger;1.2
Benjamin Koppke;1.0
Olisaemeka Williams Itumo;1.0
Nevio Bennefeld;1.0
Jared Grey;1.0
Oskar Humpert;1.0
Jayson Roth;1.0
Janis Jünemann;1.0
Tim Schnelle;0.8
Julis Baumer;0.8
Moek Icke;0.8
Johann Helwig;0.8
Tim Nocke;0.8
Maxim Klanten;0.7
Teis Hümmels;0.7
Viktor Ludviksson;0.7
Thore Dilschmann;0.7
Tobias Drochner;0.7
Jasper Brand;0.7
Jannis Grußendorf;0.7
Esli Edigin;0.6
Matteo Petters;0.6
Dre Odeh;0.6
Jeremy Julian Kolev;0.5
Jenö Pildner;0.5
Jermaine Fleck;0.5
Ivan Crnjac;0.5
Jorke Aav;0.5
Paul Schmorleiz;0.5
Tim Otto;0.5
Alen Blakaj;0.5
Caspar Chima Okoro;0.5
Matija Milosevic;0.5
Marvin Eßer;0.5
Lennard Glowka;0.5
Sebastian Schwachhofer;0.4
Ivan Volf;0.4
Linus Ruf;0.4
Martin Kalu;0.4
Lazar Klaric;0.4
Noah Slingerland;0.4
Simon Feneberg;0.3
Maximilian zur Linde;0.3
Clemens Sokolov;0.3
Philipp Roos;0.3
Jeremey Jason Wontroba;0.3
Max Emil Weber;0.3
Daniel Biel;0.3
Andrej Milutinovic;0.3
John Hubertus Kropp;0.3
Pablo Schmidt;0.3
Lars Kremer;0.3
Ruomi Walter;0.3
Leonard Dertmann;0.3
Stanislav Hinkov;0.3
Emanuel Mpacko;0.3
Timon Hoffmann;0.3
Miran Evin;0.3
Jarne Jürgens;0.3
Leonhard Laar;0.3
Silver Bieling;0.3
Richard Schmitt;0.2
Desmond Yiamu;0.2
Marko Masic;0.2
Jug Bogdan;0.2
Amon Levi Dörries;0.2
Noah-Oliver Okah;0.2
Colin Schroeder;0.2
Linus Trettin;0.2
Calin Nita;0.2
Elias Nold;0.1
Jack Kayil;0.1
Noah Koch;0.1
Paul Levi Urban;0.0
Leif Zentgraf;0.0
Joscha Zentgraf;0.0
Henrik Besch;0.0
Leon Anbinder;0.0
Nicola Schultze;0.0
Bennett Spree;0.0
Finn Schwaiger;0.0
Joshua Bonga;0.0
Philip Schneck;0.0
Leopold Schmidt;0.0
Jonas Pohle;0.0
Dusan Nikolic;0.0
Namori Omog;0.0
Joshua Sievers;0.0
Niklas Müller;0.0
Luca Kellig;0.0
Alfred Milatz;0.0
Luca May;0.0
Daniel Riedrich;0.0
Luka Pesic;0.0
Giuliano Aufiero;0.0
Lukas Klein;0.0
Abdulhay Kömürkara;0.0
Lukas Modic;0.0
Callum Macaulay;0.0
Lukas Mutter;0.0
Ben Denkena;0.0
Lukas Wiegeler;0.0
Muhamad-Adel Soumare Medford;0.0
Marijan Krstonic;0.0
Djairo Bernardina;0.0
David Koch;0.0
Niels Dübener;0.0
Tim-Felix Bühren;0.0
Nikolas Sermpezis;0.0
Jakub Klobusiak;0.0
Johann Grau;0.0
Travis Davis;0.0
Ognjen Cocic;0.0
Aksel Laso;0.0
Gaston Nguyen Manh;0.0
Mathéo Hermann;0.0
Paul Bahn;0.0
Dorian Grosber;0.0
Paul Manuel Raabe;0.0
Mats Niggemann;0.0
Hendrik Metsa;0.0
Darijo Kopilovic;0.0
Leo Hylla;0.0
Raphael Falkenthal;0.0
Raul Dumnici;0.0
Jakob Lang;0.0
Johannes Hellmann;0.0
Emil Bode;0.0
Leander Nzume;0.0
Julijo Kendes;0.0
Igor Jokic;0.0
Michel Schillmöller;0.0
Anton Nufer;0.0
Joscha Eckert;0.0
Ben Lenhardt;0.0
Erik Larsen;0.0
Moritz Grüß;0.0
Jonathan Paul Zeisberger;0.0
Colin Hartig;0.0
Marko Petric;0.0
Tom Brüggemann;0.0
Martin Geuther;0.0
Jamie Camron Edoka;0.0
Edin Redzepovic;0.0
Ben-Luca Port;0.0
Edwin Krzeminski;0.0
