Player;Blocks
Luca von Thun;2.4
Ben-Luca Port;2.2
Moek Icke;1.4
Yannis Steger;1.4
Matteo Petters;1.1
Oskar Humpert;1.1
Louis Jakob Sutor;1.0
Jarne Jürgens;1.0
Osaigbovo Idehen Aguebor;1.0
Jeremy Julian Kolev;1.0
Sebastian Schwachhofer;1.0
Tin Udovicic;1.0
Johann Helwig;0.9
Nevio Bennefeld;0.9
Karl Bühner;0.9
Viktor Ludviksson;0.9
Lukas Modic;0.9
Esli Edigin;0.9
Dre Odeh;0.8
Jakob Lang;0.8
Kai Müsse;0.8
Laurenz Wulf;0.8
Ivan Volf;0.8
Olisaemeka Williams Itumo;0.7
Mika Tangermann;0.7
Julis Baumer;0.7
Daniel Obehi Mack;0.7
Alen Blakaj;0.7
Tim Schnelle;0.6
Yannick Mogalle;0.6
Colin Schroeder;0.6
Leon Amadou Geißler;0.6
Danas Kazakevicius;0.6
Tim Otto;0.6
Dorian Grosber;0.5
Jenö Pildner;0.5
Linus Trettin;0.5
Didier Alphonse Mbida Mengue;0.5
Lukas Probst;0.5
Jannis Ridder;0.5
Ari von Wiegen;0.5
Simon Kohlhoff;0.5
Desmond Yiamu;0.5
Benno Wolf;0.5
Kristian Ortelli;0.5
Jan Jesgarzewski;0.4
Lars Kremer;0.4
Marko Masic;0.4
Anton Nufer;0.4
Tom Brüggemann;0.4
Maxwell Revell;0.4
Jack Kayil;0.4
Lennard Glowka;0.4
Noah Kagiso Batsile;0.4
Isayah Marcin;0.4
Pablo Estelle;0.4
Johann Grau;0.4
Jordan Knacke;0.4
Matija Milosevic;0.4
Alexander Vourliotis;0.4
Finn Stuhlmeyer;0.4
Niels Dübener;0.4
Christian Mann;0.4
Amon Levi Dörries;0.4
Lennox Groh;0.4
Noah Bakker;0.3
Linus Ruf;0.3
Cheikh Oumar Doucoure;0.3
Jared Grey;0.3
Abdulhay Kömürkara;0.3
Raphael Falkenthal;0.3
Caspar Chima Okoro;0.3
Aleksandar Zecevic;0.3
Maximilian zur Linde;0.3
Delano Miguel Juma;0.3
Philipp Roos;0.3
Lazar Klaric;0.3
Jonathan Elzie;0.3
Daniel Riedrich;0.3
Daniel Biel;0.3
Jannis Grußendorf;0.3
Koray Grenz;0.3
Leonhard Laar;0.3
Ognjen Cocic;0.3
Noah-Oliver Okah;0.3
Jules Victor Apollon Galvani;0.3
Leonard Dertmann;0.3
Leonard Kant;0.3
Leonard Jan Gausa;0.2
Jakub Klobusiak;0.2
David Koch;0.2
Tim Nocke;0.2
Armin Durakovic;0.2
Mathéo Hermann;0.2
Eduard Rantz;0.2
Noah Slingerland;0.2
Jonah Lindemann;0.2
Max Emil Weber;0.2
Timon Hoffmann;0.2
Calin Nita;0.2
Danylo Kolesnichenko;0.2
Jannis Rümer;0.2
Hendrik Metsa;0.2
Dominik Dolic;0.2
Noe Baucks;0.2
Tim-Felix Bühren;0.2
Damarae Osazuwa Simson;0.2
Maurice Reiter;0.2
Ole Sebastiani;0.2
Luca May;0.2
Lukas Wiegeler;0.2
Detwan Andrews;0.2
Colin Hartig;0.2
Luca Kellig;0.2
Frederik Selzer;0.1
Norwin Gumbinger;0.1
Lennart Tröppner;0.1
Muhamad-Adel Soumare Medford;0.1
Noah Koch;0.1
Silver Bieling;0.1
Mateja Pivnicki;0.1
Leander Nzume;0.1
Jug Bogdan;0.1
Marko Petric;0.1
Cornelius Meinel;0.1
Raphael Wöllenstein;0.1
Radouan Aberkane;0.1
Silian Felix Bonacker;0.1
Noah Palumbo;0.1
Neo Krizanovic;0.1
