Player;Blocks
Johann Grünloh;4.5
Ivan Kharchenkov;2.0
Karl Bühner;2.0
Julis Baumer;1.0
Martin Kalu;1.0
Sebastian Schwachhofer;1.0
Esli Edigin;1.0
Jannis Grußendorf;1.0
Simon Kohlhoff;1.0
Elias Nold;0.5
Johann Helwig;0.5
Colin Schroeder;0.5
Jack Kayil;0.5
Linus Trettin;0.5
Matteo Petters;0.0
Sebastian Kuhn;0.0
Moritz Grüß;0.0
Bennett Spree;0.0
Marko Petric;0.0
Ivan Volf;0.0
Miran Evin;0.0
Johannes Hellmann;0.0
Noah Koch;0.0
Joshua Bonga;0.0
Marko Masic;0.0
Dominik Dolic;0.0
Desmond Yiamu;0.0
Ben Denkena;0.0
Michel Schillmöller;0.0
Stanislav Hinkov;0.0
Moek Icke;0.0
Djairo Bernardina;0.0
Nikolas Sermpezis;0.0
Igor Jokic;0.0
Noah Slingerland;0.0
Luka Pesic;0.0
Jarne Jürgens;0.0
Lukas Modic;0.0
Abdulhay Kömürkara;0.0
Tim Nocke;0.0
Lazar Klaric;0.0
Leander Nzume;0.0
