Player;PER
Philip Schneck;55.7
Ivan Kharchenkov;50.4
Lukas Modic;45.6
Johann Grünloh;45.4
Dusan Nikolic;45.1
Benjamin Koppke;42.3
Jack Kayil;40.9
Desmond Yiamu;39.8
Raphael Falkenthal;39.5
Silver Bieling;38.8
Linus Ruf;35.0
Matija Milosevic;34.6
Igor Jokic;33.4
Andrej Milutinovic;31.5
Linus Trettin;30.9
Oskar Humpert;30.8
Luka Pesic;29.6
Jonathan Paul Zeisberger;29.3
Tim Otto;28.9
Lukas Klein;28.6
Emanuel Mpacko;27.8
Joshua Bonga;27.6
Karl Bühner;27.6
Pablo Schmidt;27.2
Tom Brüggemann;26.9
Jenö Pildner;26.8
Leon Amadou Geißler;25.8
Paul Schmorleiz;25.7
Jug Bogdan;25.7
Jakob Lang;25.1
Leon Anbinder;25.1
Joel Mbappou;25.0
Olisaemeka Williams Itumo;25.0
Jared Grey;24.5
Nikolas Sermpezis;24.2
Calin Nita;23.2
Colin Schroeder;23.1
Jermaine Fleck;22.2
Johann Grau;21.9
Nevio Bennefeld;21.8
Joscha Eckert;21.8
Esli Edigin;21.7
Sebastian Schwachhofer;21.6
Thore Dilschmann;21.4
Marvin Eßer;21.2
Janis Jünemann;21.1
Julijo Kendes;20.7
Abdulhay Kömürkara;20.7
Marko Masic;20.7
Amon Levi Dörries;20.5
Leonhard Laar;20.4
Lars Kremer;20.2
Jasper Brand;20.0
Jeremey Jason Wontroba;19.9
Ruomi Walter;19.8
Tim Schnelle;19.6
Martin Kalu;19.5
Simon Kohlhoff;19.4
Edwin Krzeminski;19.2
Ivan Volf;19.2
Viktor Ludviksson;19.1
Jarne Jürgens;19.0
Dorian Grosber;18.9
Simon Feneberg;18.9
Philipp Roos;18.8
Jorke Aav;18.8
Mathéo Hermann;18.7
Leander Nzume;18.7
Jayson Roth;18.7
Tim Nocke;18.7
Marijan Krstonic;18.5
Matteo Petters;18.4
Travis Davis;18.3
Moek Icke;18.1
Noah Koch;18.0
Noah Slingerland;17.7
Julis Baumer;17.6
Joscha Zentgraf;17.6
Emil Bode;17.3
Miran Evin;17.1
Jonas Pohle;16.9
Yannis Steger;16.6
Henrik Besch;16.5
Moritz Grüß;16.3
Lennard Glowka;16.2
Tobias Drochner;16.1
Edin Redzepovic;15.9
Maxim Klanten;15.6
David Koch;15.4
Max Emil Weber;15.1
Clemens Sokolov;14.7
Luca Kellig;14.7
Ivan Crnjac;14.7
Martin Geuther;14.7
Giuliano Aufiero;14.1
Jannis Ridder;13.5
Jeremy Julian Kolev;12.6
Nicola Schultze;12.4
Aksel Laso;12.1
Johann Helwig;12.1
Dre Odeh;11.7
Hendrik Metsa;11.3
Leif Zentgraf;11.0
Ben Lenhardt;10.5
Marko Petric;10.5
Michel Schillmöller;10.5
Leo Hylla;10.3
Lukas Mutter;10.2
Ben-Luca Port;9.9
John Hubertus Kropp;9.9
Paul Viefhues;9.8
Bennett Spree;9.7
Richard Schmitt;9.7
Gaston Nguyen Manh;9.4
Muhamad-Adel Soumare Medford;9.1
Lukas Wiegeler;9.0
Anton Nufer;8.9
Teis Hümmels;8.5
Maximilian zur Linde;8.4
Johannes Hellmann;8.1
Tim-Felix Bühren;8.0
Jannis Grußendorf;8.0
Paul Bahn;8.0
Ognjen Cocic;7.7
Joshua Sievers;7.2
Erik Larsen;7.2
Colin Hartig;7.2
Alfred Milatz;7.1
Jakub Klobusiak;6.8
Stanislav Hinkov;6.8
Leonard Dertmann;6.6
Elias Nold;6.5
Niels Dübener;6.1
Daniel Riedrich;5.8
Noah-Oliver Okah;5.8
Niklas Müller;5.7
Paul Levi Urban;5.3
Caspar Chima Okoro;5.2
Finn Schwaiger;4.6
Raul Dumnici;3.9
Timon Hoffmann;3.4
Darijo Kopilovic;3.4
Jamie Camron Edoka;3.3
Alen Blakaj;1.9
Mats Niggemann;1.3
Callum Macaulay;0.3
Paul Manuel Raabe;-0.5
Daniel Biel;-1.9
Namori Omog;-2.1
Ben Denkena;-2.4
Djairo Bernardina;-2.7
Leopold Schmidt;-3.7
Luca May;-5.6
Lazar Klaric;-6.0
