Player;PER
Matija Milosevic;50.7
Jack Kayil;48.7
Tin Udovicic;48.4
Igor Jokic;46.6
Sebastian Schwachhofer;46.3
Louis Jakob Sutor;43.7
Linus Ruf;42.9
Desmond Yiamu;42.1
Paul Viefhues;41.6
Tom Wübben;41.6
Ivan Kharchenkov;40.9
Danas Kazakevicius;39.4
Luca Kellig;39.1
Osaigbovo Idehen Aguebor;39.0
Mika Tangermann;37.5
Christian Mann;37.1
Linus Trettin;36.5
Daniel Biel;36.1
Jannis Grußendorf;35.8
Karl Haring;35.4
Colin Schroeder;35.2
Lennard Glowka;35.1
Raphael Falkenthal;35.0
Abdulhay Kömürkara;35.0
Jakob Lang;33.7
Ben-Luca Port;33.2
Thore Dilschmann;32.8
Karl Bühner;32.8
Lazar Klaric;32.4
Hendrik Metsa;32.2
Lukas Modic;32.1
Jorke Aav;32.1
Jared Grey;32.0
Jan Dübener;31.5
Dominik Dolic;31.4
Nikolas Sermpezis;31.3
Dominic Mack;31.3
Noah Koch;30.6
Viktor Ludviksson;30.6
Tim Otto;30.2
Moek Icke;29.9
Oskar Humpert;29.8
Norwin Gumbinger;29.2
Finn Stuhlmeyer;28.8
Silver Bieling;28.4
Leon Anbinder;28.4
Johann Grau;28.4
Didier Alphonse Mbida Mengue;28.0
Noe Baucks;27.9
Daniel Hinkov;27.5
Jeremey Jason Wontroba;27.5
Olisaemeka Williams Itumo;27.4
Joshua Bonga;26.8
Kristian Ortelli;26.7
Elias Nold;26.7
Stanislav Hinkov;26.3
Esli Edigin;26.3
Jannis Rümer;26.3
Gunnar Wanninger;26.1
Dorian Grosber;26.0
David Koch;26.0
Leonhard Laar;25.5
Daniel Riedrich;25.4
Yannis Steger;24.7
Jonathan Paul Zeisberger;24.7
Mats Niggemann;24.6
Nelson Martin;24.5
Yari Monninkhoff;24.5
Leon Amadou Geißler;24.4
Kai Müsse;24.4
Johannes Hellmann;24.2
Jannis Ridder;24.1
Noé Bom;23.5
Matteo Petters;23.3
Ivan Volf;23.3
Benjamin Koppke;23.2
Michel Schillmöller;22.9
Luca von Thun;22.8
Jug Bogdan;22.2
Amon Levi Dörries;22.2
Simon Kohlhoff;21.9
Ognjen Cocic;21.9
Miran Evin;21.7
Jayden Estrus Jr. Fatnassi;21.5
Detwan Andrews;21.5
Callum Macaulay;21.4
Benjamin Jeß;21.3
Jakub Klobusiak;21.1
Eren Simbil;21.0
Tim-Felix Bühren;20.9
Darren Egbe;20.8
Jenö Pildner;20.8
Till Heyne;20.8
Linus Jürgens;20.7
Marko Masic;20.6
Tim Nocke;20.5
Lars Kremer;20.2
Bennett Spree;20.2
Luka Pesic;20.2
Pablo Estelle;19.7
Finn-Friedrich Flasche;19.6
Laurenz Wulf;19.6
Johann Helwig;19.5
Jarne Jürgens;19.3
Philipp Roos;19.2
Noah Slingerland;19.0
Martin Geuther;19.0
Aleksandar Zecevic;18.9
Alan Topic Volovec;18.9
Julis Baumer;18.8
Paul Bahn;18.7
Yannick Mogalle;18.6
Dre Odeh;18.4
Fynn Thure Benzel;18.4
Niels Dübener;18.2
Danylo Kolesnichenko;18.0
Daniel Obehi Mack;17.5
Max Emil Weber;17.5
Travis Davis;17.4
Lennart Tröppner;17.4
Colin Hartig;17.3
Maximilian zur Linde;17.3
Joshua William Greene;17.3
Tom Brüggemann;17.1
Anton Nufer;16.9
Mathéo Hermann;16.8
Mika Kröner;16.7
Isaiah Javante Batiste;16.6
Felix Zacharias;16.2
Nevio Bennefeld;15.9
Moritz Grüß;15.9
Jordan Knacke;15.9
Mateja Pivnicki;15.8
Anton Meyer;15.8
Gregor Gewinner;15.8
Caspar Chima Okoro;15.8
Maxwell Revell;15.8
Till Galler;15.7
Leonard Jan Gausa;15.6
Paul Luis Schwabe;15.3
Richard Schmitt;15.3
Julian Günther;15.1
Edwin Krzeminski;14.9
Finn Schwaiger;14.8
Muhamad-Adel Soumare Medford;14.6
Jonah Lindemann;14.5
Julian Kirchhoff;14.3
Niklas Bertram;14.3
Giuliano Aufiero;14.2
Paul Manuel Raabe;14.2
Lukas Mutter;14.2
Erik Niggemann;14.1
Alen Blakaj;13.9
Noah-Oliver Okah;13.8
Calin Nita;13.6
Jeremy Julian Kolev;13.6
Aksel Laso;13.6
Pedja Labus;13.5
Alexander Lehmann;13.5
Leonard Menne;13.4
Viktor Lukic-Gavric;13.3
Djairo Bernardina;13.1
Marko Volf;12.8
Leopold Schmidt;12.7
Philip Schneck;12.6
Ben Denkena;12.5
Sebastian Kuhn;12.4
Jakob Baur;12.4
Christopher Wersien;12.1
Leonard Dertmann;12.0
Jordan Juel Lockhart;11.8
Eduard Rantz;11.8
Raphael Wöllenstein;11.6
Leander Nzume;11.6
Justus Waller;11.5
Tim Schnelle;11.4
Lukas Wiegeler;11.3
Saro Pisacane;11.3
Jonas Mendl;11.2
Lennox Groh;11.1
Timon Hoffmann;11.1
Timo Wachsmuth;11.1
Karl Heinz Kleine Holthaus;11.0
Mathieu Adovi-Ley;10.9
Julijo Kendes;10.9
Jan Mausolf;10.7
Epke Kruthaup;10.4
Marko Petric;10.3
Luca May;10.2
Noah Palumbo;10.0
Neo Krizanovic;9.9
Jonathan Elzie;9.9
Jonas Pohle;9.8
Angelos Avramidis;9.8
Noah Bakker;9.7
Ari von Wiegen;9.6
Paul Schmorleiz;9.6
Radouan Aberkane;9.3
Leo Hylla;9.2
Nicola Schultze;9.1
Cheikh Oumar Doucoure;9.1
Jayson Pfannenstiel;9.1
Ole Sebastiani;9.0
Felix Holzer;8.8
Alexander Vourliotis;8.2
Alexios Kyriakidis;8.1
Leonard Kant;8.0
Alfons Milatz;7.7
Leander Werner;7.5
Isayah Marcin;7.4
Denzel Mota;7.4
Karl Johan Vändra;7.3
Benno Wolf;7.2
Silian Felix Bonacker;7.1
Ruben Köster;7.1
David Sann;6.5
Jonas Groß;6.5
Bar Amiel;6.3
Maj Dolinsek;6.3
Finn Paris;6.3
Jasper Hegele;6.2
Leo Kirchhoff;5.8
Dariusz Blank;5.7
Armin Durakovic;5.7
Cornelius Meinel;5.4
Alfred Milatz;5.0
Bruno Jacob Wollmann;4.8
Damarae Osazuwa Simson;4.8
Maximilian Bartylak;4.7
Joshua Sievers;4.7
Ole Werker;4.5
Timon Gotsis;4.4
Delano Miguel Juma;4.2
Ole Schwering;4.2
Jan Jesgarzewski;3.9
Tim Rothämel;3.7
Max Riedel;3.2
Bastian Nückel;3.0
Lukas Schütz;2.8
Jules Victor Apollon Galvani;2.7
Noah Kagiso Batsile;2.4
Maurice Reiter;2.4
Maximilian Eichbaum;2.3
Domenico-Germaine Hansmeier;2.0
Fabian Kayser;1.9
Laurens Rieping;1.6
Martin Kalu;1.4
Kaloyan Iskrenov Lozanov;1.3
Koray Grenz;0.8
Niklas Schulz;0.8
Liam Gföllner;0.0
Clemens Bialas;-0.3
Niklas Zwanziger;-0.4
Jericho Richter;-1.0
Jonatan Kunze;-1.0
Jonte Elias Heßling;-2.3
Gido Nanninga;-2.8
Moritz Renner;-4.7
Robin Kurr;-5.2
#5 Bamberg;-5.3
Lukas Probst;-5.3
Kilian Walter;-5.5
Tim Sauer;-5.9
Noah Liem;-7.3
Leon Martinez;-8.3
Frederik Selzer;-9.9
