Player;PER
Johann Grünloh;52.3
Jack Kayil;47.1
Lukas Modic;45.6
Joshua Bonga;33.2
Ivan Kharchenkov;32.4
Desmond Yiamu;26.2
Esli Edigin;25.9
Miran Evin;23.6
Karl Bühner;22.3
Moek Icke;21.3
Simon Kohlhoff;20.6
Noah Slingerland;19.9
Ivan Volf;19.4
Linus Trettin;18.8
Abdulhay Kömürkara;16.6
Nikolas Sermpezis;16.3
Marko Petric;15.9
Colin Schroeder;14.7
Martin Kalu;14.5
Johann Helwig;14.4
Igor Jokic;12.0
Luka Pesic;9.7
Julis Baumer;9.6
Jarne Jürgens;7.6
Sebastian Schwachhofer;7.5
Stanislav Hinkov;0.3
Dominik Dolic;-3.9
Tim Nocke;-4.7
Noah Koch;-6.0
Lazar Klaric;-7.3
Marko Masic;-11.2
