Player;Points
Dusan Nikolic;24.5
Ivan Kharchenkov;23.6
Benjamin Koppke;21.0
Tom Brüggemann;20.3
Jonathan Paul Zeisberger;19.8
Raphael Falkenthal;19.5
Jack Kayil;18.7
Oskar Humpert;18.3
Matija Milosevic;17.8
Luca Kellig;17.5
Leon Anbinder;17.3
Jakob Lang;17.3
Travis Davis;17.3
Igor Jokic;17.3
Simon Feneberg;17.0
Thore Dilschmann;16.7
Linus Ruf;16.4
Jermaine Fleck;16.0
Jorke Aav;15.3
Philip Schneck;15.0
Lukas Modic;15.0
Esli Edigin;14.6
Joscha Eckert;14.0
Jared Grey;14.0
Joshua Bonga;14.0
Marko Masic;13.8
Janis Jünemann;13.3
Pablo Schmidt;13.3
Johann Grünloh;13.3
Karl Bühner;13.0
Ivan Crnjac;13.0
Ivan Volf;12.4
Linus Trettin;12.3
Lennard Glowka;12.0
Emanuel Mpacko;11.7
Martin Kalu;11.6
David Koch;11.5
Leonhard Laar;11.5
Calin Nita;11.5
Leif Zentgraf;11.5
Paul Viefhues;11.5
Johann Grau;11.3
Viktor Ludviksson;11.3
Colin Schroeder;11.2
Leon Amadou Geißler;11.0
Amon Levi Dörries;10.7
Tim Nocke;10.5
Jasper Brand;10.3
Silver Bieling;10.3
Jenö Pildner;10.3
Andrej Milutinovic;10.0
Nevio Bennefeld;9.8
Simon Kohlhoff;9.7
Abdulhay Kömürkara;9.6
Lars Kremer;9.5
Desmond Yiamu;9.4
Gaston Nguyen Manh;9.3
Miran Evin;9.1
Noah Slingerland;9.0
Edin Redzepovic;9.0
Jannis Ridder;9.0
Nikolas Sermpezis;8.8
Sebastian Schwachhofer;8.8
Julijo Kendes;8.8
Mathéo Hermann;8.8
Hendrik Metsa;8.7
Julis Baumer;8.6
Tim Otto;8.5
Joel Mbappou;8.3
Jeremy Julian Kolev;8.3
Clemens Sokolov;8.0
Jeremey Jason Wontroba;7.8
Ben Lenhardt;7.7
Ben-Luca Port;7.7
Emil Bode;7.7
Marko Petric;7.6
Olisaemeka Williams Itumo;7.5
Luka Pesic;7.2
Dorian Grosber;7.0
Dre Odeh;7.0
Paul Bahn;6.8
Ruomi Walter;6.7
Maximilian zur Linde;6.7
Tobias Drochner;6.7
Yannis Steger;6.5
Noah Koch;6.5
Moek Icke;6.4
Philipp Roos;6.3
Marijan Krstonic;6.3
Johann Helwig;6.1
Niklas Müller;6.0
Maxim Klanten;6.0
Marvin Eßer;6.0
Ognjen Cocic;5.5
Jayson Roth;5.3
Martin Geuther;5.3
Anton Nufer;5.3
Erik Larsen;5.3
Jarne Jürgens;5.3
Tim Schnelle;5.2
Jakub Klobusiak;5.0
Edwin Krzeminski;5.0
Raul Dumnici;5.0
Moritz Grüß;4.8
Richard Schmitt;4.8
Stanislav Hinkov;4.7
Lukas Mutter;4.7
Jonas Pohle;4.7
Henrik Besch;4.7
Mats Niggemann;4.7
Lukas Klein;4.5
Finn Schwaiger;4.3
Nicola Schultze;4.2
Max Emil Weber;4.0
Joscha Zentgraf;4.0
Namori Omog;4.0
Muhamad-Adel Soumare Medford;4.0
Joshua Sievers;4.0
Jug Bogdan;3.8
Matteo Petters;3.8
Jannis Grußendorf;3.7
Noah-Oliver Okah;3.5
Lukas Wiegeler;3.3
Michel Schillmöller;3.2
John Hubertus Kropp;3.0
Callum Macaulay;3.0
Paul Schmorleiz;3.0
Bennett Spree;2.5
Alfred Milatz;2.5
Aksel Laso;2.5
Leo Hylla;2.4
Giuliano Aufiero;2.3
Paul Levi Urban;2.3
Alen Blakaj;2.3
Tim-Felix Bühren;2.3
Colin Hartig;2.0
Caspar Chima Okoro;2.0
Timon Hoffmann;2.0
Jamie Camron Edoka;2.0
Niels Dübener;2.0
Leander Nzume;2.0
Leopold Schmidt;2.0
Daniel Riedrich;1.8
Djairo Bernardina;1.7
Darijo Kopilovic;1.7
Paul Manuel Raabe;1.4
Teis Hümmels;1.3
Luca May;1.3
Leonard Dertmann;1.3
Elias Nold;0.9
Johannes Hellmann;0.9
Daniel Biel;0.7
Lazar Klaric;0.4
Ben Denkena;0.0
;
