Player;Points
Ivan Kharchenkov;26.0
Matija Milosevic;22.9
Luca Kellig;22.2
Danas Kazakevicius;21.7
Lennard Glowka;18.6
Jack Kayil;18.6
Thore Dilschmann;18.5
Till Heyne;17.3
Raphael Falkenthal;17.0
Igor Jokic;17.0
Christian Mann;16.8
Oskar Humpert;16.5
Viktor Ludviksson;16.1
Paul Viefhues;16.0
Tin Udovicic;16.0
Abdulhay Kömürkara;15.9
Kristian Ortelli;15.8
Joshua Bonga;15.6
Dominik Dolic;15.3
Nikolas Sermpezis;15.2
Ben-Luca Port;15.1
Jorke Aav;15.0
David Koch;14.6
Linus Ruf;14.5
Amon Levi Dörries;14.5
Sebastian Schwachhofer;14.4
Jared Grey;14.3
Leon Anbinder;14.2
Jakob Lang;14.1
Stanislav Hinkov;14.0
Anton Meyer;13.9
Jannis Grußendorf;13.9
Linus Trettin;13.7
Detwan Andrews;13.7
Hendrik Metsa;13.5
Jannis Rümer;13.4
Jannis Ridder;13.1
Desmond Yiamu;13.0
Benjamin Koppke;12.7
Karl Bühner;12.5
Luka Pesic;12.4
Noé Bom;12.2
Louis Jakob Sutor;12.0
Viktor Lukic-Gavric;12.0
Miran Evin;11.8
Mika Tangermann;11.8
Ivan Volf;11.8
Jeremey Jason Wontroba;11.7
Lukas Modic;11.7
Jonathan Paul Zeisberger;11.6
Noah Koch;11.5
Mats Niggemann;11.5
Maxwell Revell;11.4
Travis Davis;11.3
Simon Kohlhoff;11.2
Benjamin Jeß;11.2
Lars Kremer;11.1
Leonhard Laar;11.1
Esli Edigin;10.8
Moek Icke;10.8
Tim Otto;10.7
Marko Masic;10.5
Daniel Biel;10.4
Dorian Grosber;10.4
Luca von Thun;10.3
Anton Nufer;10.2
Nelson Martin;10.2
Tom Brüggemann;10.1
Kai Müsse;10.1
Neo Krizanovic;10.0
Darren Egbe;10.0
Colin Schroeder;9.8
Johann Grau;9.7
Olisaemeka Williams Itumo;9.4
Damarae Osazuwa Simson;9.3
Eren Simbil;9.3
Mika Kröner;9.2
Jenö Pildner;9.2
Michel Schillmöller;9.1
Martin Kalu;9.0
Marko Volf;9.0
Tim Nocke;8.9
Paul Bahn;8.8
Nevio Bennefeld;8.6
Finn Schwaiger;8.4
Lazar Klaric;8.3
Leon Amadou Geißler;8.2
Jakub Klobusiak;7.9
David Sann;7.9
Daniel Riedrich;7.7
Johann Helwig;7.7
Calin Nita;7.6
Felix Zacharias;7.6
Callum Macaulay;7.6
Maximilian zur Linde;7.5
Mathéo Hermann;7.4
Bennett Spree;7.4
Richard Schmitt;7.4
Matteo Petters;7.4
Osaigbovo Idehen Aguebor;7.3
Niels Dübener;7.2
Philipp Roos;7.1
Jordan Juel Lockhart;7.0
Marko Petric;7.0
Karl Johan Vändra;7.0
Jeremy Julian Kolev;6.9
Moritz Grüß;6.9
Julis Baumer;6.8
Danylo Kolesnichenko;6.8
Epke Kruthaup;6.8
Leonard Jan Gausa;6.7
Ognjen Cocic;6.7
Silver Bieling;6.6
Radouan Aberkane;6.6
Dre Odeh;6.5
Noah Slingerland;6.4
Max Emil Weber;6.4
Yannis Steger;6.4
Johannes Hellmann;6.3
Philip Schneck;6.1
Laurenz Wulf;6.0
Jarne Jürgens;5.9
Aksel Laso;5.8
Justus Waller;5.8
Fynn Thure Benzel;5.8
Pablo Estelle;5.5
Martin Geuther;5.5
Daniel Hinkov;5.4
Jug Bogdan;5.4
Joshua William Greene;5.4
Tom Wübben;5.3
Yannick Mogalle;5.3
Alexander Vourliotis;5.3
Jonas Pohle;5.2
Norwin Gumbinger;5.1
Jan Dübener;5.0
Edwin Krzeminski;5.0
Karl Haring;5.0
Noah Palumbo;5.0
Dominic Mack;4.8
Luca May;4.8
Giuliano Aufiero;4.8
Ben Denkena;4.8
Jayden Estrus Jr. Fatnassi;4.7
Bar Amiel;4.6
Elias Nold;4.5
Alan Topic Volovec;4.4
Djairo Bernardina;4.4
Jonah Lindemann;4.2
Paul Manuel Raabe;4.2
Julijo Kendes;4.2
Finn-Friedrich Flasche;4.1
Sebastian Kuhn;4.1
Didier Alphonse Mbida Mengue;4.0
Caspar Chima Okoro;4.0
Jonte Elias Heßling;4.0
Leander Werner;4.0
Fabian Kayser;4.0
Jonathan Elzie;4.0
Yari Monninkhoff;4.0
Lukas Wiegeler;3.9
Joshua Sievers;3.9
Angelos Avramidis;3.9
Muhamad-Adel Soumare Medford;3.9
Cheikh Oumar Doucoure;3.8
Alen Blakaj;3.8
Leo Hylla;3.8
Lennox Groh;3.8
Saro Pisacane;3.8
Tim Schnelle;3.7
Aleksandar Zecevic;3.7
Isaiah Javante Batiste;3.7
Noah Bakker;3.7
Noe Baucks;3.7
Noah-Oliver Okah;3.6
Jonas Groß;3.6
Colin Hartig;3.6
Christopher Wersien;3.6
Ari von Wiegen;3.5
Tim-Felix Bühren;3.5
Jordan Knacke;3.5
Benno Wolf;3.5
Leonard Dertmann;3.4
Armin Durakovic;3.3
Jonas Mendl;3.3
Leonard Menne;3.3
Paul Schmorleiz;3.3
Leopold Schmidt;3.3
Delano Miguel Juma;3.2
Gunnar Wanninger;3.2
Nicola Schultze;3.2
Liam Gföllner;3.1
Linus Jürgens;3.1
Lukas Mutter;3.0
Erik Niggemann;3.0
Jan Mausolf;3.0
Clemens Bialas;3.0
Jayson Pfannenstiel;2.9
Niklas Bertram;2.7
Silian Felix Bonacker;2.7
Paul Luis Schwabe;2.7
Maximilian Eichbaum;2.7
Mathieu Adovi-Ley;2.6
Julian Kirchhoff;2.6
Finn Stuhlmeyer;2.5
Ruben Köster;2.5
Maj Dolinsek;2.5
Eduard Rantz;2.4
Bruno Jacob Wollmann;2.4
Finn Paris;2.3
Karl Heinz Kleine Holthaus;2.3
Bastian Nückel;2.3
Alfred Milatz;2.3
Mateja Pivnicki;2.3
Jasper Hegele;2.3
Max Riedel;2.2
Ole Sebastiani;2.2
Jan Jesgarzewski;2.1
Daniel Obehi Mack;2.0
Isayah Marcin;2.0
Jules Victor Apollon Galvani;2.0
Timon Hoffmann;1.8
Cornelius Meinel;1.8
Leo Kirchhoff;1.7
Denzel Mota;1.7
Julian Günther;1.7
Leander Nzume;1.6
Timo Wachsmuth;1.6
Tim Rothämel;1.6
Dariusz Blank;1.5
Jericho Richter;1.5
Till Galler;1.5
Alexander Lehmann;1.4
Alfons Milatz;1.4
Ole Schwering;1.4
Noah Kagiso Batsile;1.4
Lukas Schütz;1.4
Koray Grenz;1.4
Pedja Labus;1.3
Alexios Kyriakidis;1.3
Felix Holzer;1.3
Leonard Kant;1.3
Laurens Rieping;1.3
Raphael Wöllenstein;1.2
Jakob Baur;1.2
Domenico-Germaine Hansmeier;1.1
Gido Nanninga;1.0
Kilian Walter;1.0
Maurice Reiter;1.0
Maximilian Bartylak;1.0
Kaloyan Iskrenov Lozanov;0.9
Lennart Tröppner;0.9
Gregor Gewinner;0.9
Noah Liem;0.8
Jonatan Kunze;0.7
Moritz Renner;0.7
Timon Gotsis;0.7
Tim Sauer;0.7
Frederik Selzer;0.6
Niklas Zwanziger;0.3
Lukas Probst;0.3
#5 Bamberg;0.0
Robin Kurr;0.0
Leon Martinez;0.0
Ole Werker;0.0
Niklas Schulz;0.0
