Player;Points
Ivan Kharchenkov;23
Jack Kayil;21
Ivan Volf;19
Joshua Bonga;17
Johann Grünloh;16.5
Esli Edigin;16
Lukas Modic;15
Miran Evin;13
Noah Slingerland;12
Simon Kohlhoff;12
Abdulhay Kömürkara;11
Julis Baumer;11
Leander Nzume;10
Johann Helwig;9.5
Karl Bühner;9.5
Martin Kalu;9
Igor Jokic;8
Desmond Yiamu;8
Linus Trettin;7.5
Sebastian Schwachhofer;7
Colin Schroeder;6
Marko Masic;6
Marko Petric;6
Stanislav Hinkov;5
Nikolas Sermpezis;5
Johannes Hellmann;3
Dominik Dolic;3
Moek Icke;3
Jarne Jürgens;2
Luka Pesic;2
Moritz Grüß;2
Matteo Petters;2
Djairo Bernardina;2
Bennett Spree;1
Tim Nocke;1
Michel Schillmöller;0.5
Noah Koch;0
Lazar Klaric;0
Ben Denkena;0
Elias Nold;0
Jannis Grußendorf;0
Sebastian Kuhn;0
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
