Player;Rebounds
Johann Grünloh;10.7
Pablo Schmidt;10.0
Benjamin Koppke;9.0
Lukas Modic;9.0
Linus Ruf;8.6
Karl Bühner;8.5
Desmond Yiamu;7.8
Leon Amadou Geißler;7.5
Olisaemeka Williams Itumo;7.5
Jakob Lang;7.3
Johann Grau;7.3
Viktor Ludviksson;7.3
Jared Grey;7.0
Simon Feneberg;7.0
Joscha Eckert;6.7
Janis Jünemann;6.7
Dusan Nikolic;6.5
Tim Nocke;6.4
Luka Pesic;6.2
Ivan Kharchenkov;6.2
Nevio Bennefeld;6.0
Thore Dilschmann;6.0
Jack Kayil;5.9
Miran Evin;5.9
Sebastian Schwachhofer;5.8
Moek Icke;5.8
Edin Redzepovic;5.7
Jannis Ridder;5.7
Esli Edigin;5.6
Joscha Zentgraf;5.5
Tom Brüggemann;5.3
Oskar Humpert;5.3
Linus Trettin;5.2
Philip Schneck;5.0
Ben-Luca Port;5.0
Lukas Klein;5.0
Nikolas Sermpezis;5.0
Tim Schnelle;5.0
Ivan Crnjac;5.0
Joel Mbappou;5.0
Matija Milosevic;4.8
Jenö Pildner;4.8
Dorian Grosber;4.7
Joshua Sievers;4.7
Amon Levi Dörries;4.7
Luca Kellig;4.5
Edwin Krzeminski;4.5
Noah Koch;4.4
Mats Niggemann;4.3
Tobias Drochner;4.3
Ben Lenhardt;4.3
Marijan Krstonic;4.3
Jorke Aav;4.3
Abdulhay Kömürkara;4.2
Joshua Bonga;4.2
Colin Schroeder;4.2
Simon Kohlhoff;4.1
Julis Baumer;4.0
Jarne Jürgens;4.0
Raphael Falkenthal;4.0
Marko Petric;4.0
Jakub Klobusiak;4.0
Noah Slingerland;3.9
Clemens Sokolov;3.7
Emanuel Mpacko;3.7
Jayson Roth;3.7
Dre Odeh;3.6
Daniel Riedrich;3.5
Calin Nita;3.5
Lars Kremer;3.5
Jeremey Jason Wontroba;3.5
Ivan Volf;3.4
Martin Kalu;3.4
Philipp Roos;3.3
Anton Nufer;3.3
Matteo Petters;3.2
Nicola Schultze;3.2
Namori Omog;3.0
Igor Jokic;3.0
Leif Zentgraf;3.0
Tim Otto;3.0
Jamie Camron Edoka;3.0
Jeremy Julian Kolev;3.0
Travis Davis;3.0
David Koch;3.0
Andrej Milutinovic;3.0
Jug Bogdan;2.8
Marko Masic;2.8
Richard Schmitt;2.8
Ognjen Cocic;2.8
Jonathan Paul Zeisberger;2.8
Leonhard Laar;2.8
Niklas Müller;2.7
Daniel Biel;2.7
Yannis Steger;2.7
Henrik Besch;2.7
Leon Anbinder;2.7
Silver Bieling;2.5
Paul Viefhues;2.5
Muhamad-Adel Soumare Medford;2.5
Caspar Chima Okoro;2.5
Johann Helwig;2.4
Giuliano Aufiero;2.3
Stanislav Hinkov;2.3
Leonard Dertmann;2.3
Mathéo Hermann;2.3
Lennard Glowka;2.0
Jonas Pohle;2.0
Paul Levi Urban;2.0
Jasper Brand;2.0
Erik Larsen;2.0
Raul Dumnici;2.0
Martin Geuther;2.0
Leopold Schmidt;2.0
Emil Bode;2.0
Niels Dübener;2.0
Marvin Eßer;2.0
Alfred Milatz;2.0
Maxim Klanten;2.0
Maximilian zur Linde;2.0
Paul Schmorleiz;1.8
Gaston Nguyen Manh;1.7
Hendrik Metsa;1.7
Timon Hoffmann;1.7
John Hubertus Kropp;1.7
Paul Bahn;1.5
Lukas Mutter;1.5
Callum Macaulay;1.5
Julijo Kendes;1.5
Leander Nzume;1.4
Noah-Oliver Okah;1.3
Darijo Kopilovic;1.3
Luca May;1.3
Bennett Spree;1.3
Finn Schwaiger;1.3
Leo Hylla;1.2
Moritz Grüß;1.2
Lazar Klaric;1.2
Ruomi Walter;1.0
Ben Denkena;1.0
Colin Hartig;1.0
Alen Blakaj;1.0
Michel Schillmöller;1.0
Jermaine Fleck;1.0
Johannes Hellmann;1.0
Teis Hümmels;1.0
Max Emil Weber;1.0
Aksel Laso;0.8
Djairo Bernardina;0.7
Jannis Grußendorf;0.7
Lukas Wiegeler;0.7
Elias Nold;0.4
Paul Manuel Raabe;0.4
Tim-Felix Bühren;0.3
