Player;Rebounds
Ivan Kharchenkov;10.0
Danas Kazakevicius;9.7
Linus Ruf;9.7
Christian Mann;9.0
Mika Tangermann;8.7
Ben-Luca Port;8.6
Moek Icke;8.5
Kristian Ortelli;8.5
Luca von Thun;8.3
Karl Bühner;8.3
Kai Müsse;8.2
Viktor Ludviksson;7.6
Johann Grau;7.4
Benjamin Koppke;7.4
Oskar Humpert;7.3
Desmond Yiamu;7.0
Lazar Klaric;6.8
Linus Trettin;6.7
Tim Nocke;6.7
Matija Milosevic;6.5
Dorian Grosber;6.5
Leon Amadou Geißler;6.4
Tin Udovicic;6.3
Sebastian Schwachhofer;6.3
Osaigbovo Idehen Aguebor;6.3
Jakob Lang;6.2
Matteo Petters;6.0
Ivan Volf;6.0
Olisaemeka Williams Itumo;6.0
Martin Kalu;6.0
Lukas Modic;5.9
Esli Edigin;5.8
Jannis Ridder;5.7
Jared Grey;5.7
Mats Niggemann;5.6
Colin Schroeder;5.5
Pablo Estelle;5.5
Dre Odeh;5.3
Jorke Aav;5.3
Jakub Klobusiak;5.2
Anton Meyer;5.2
Jeremey Jason Wontroba;5.2
Amon Levi Dörries;5.2
Muhamad-Adel Soumare Medford;5.1
Abdulhay Kömürkara;5.1
Noah Slingerland;4.9
Simon Kohlhoff;4.9
Jannis Rümer;4.9
Noé Bom;4.9
Jannis Grußendorf;4.7
Tim Otto;4.7
Radouan Aberkane;4.7
Daniel Obehi Mack;4.7
Fynn Thure Benzel;4.6
Daniel Biel;4.6
Benjamin Jeß;4.5
Raphael Falkenthal;4.5
Noah Koch;4.5
Maxwell Revell;4.5
Yannis Steger;4.5
Jeremy Julian Kolev;4.4
Thore Dilschmann;4.4
Nevio Bennefeld;4.4
Niels Dübener;4.3
Nelson Martin;4.2
Philipp Roos;4.2
Leonhard Laar;4.2
Leo Hylla;4.1
Tim-Felix Bühren;4.1
Stanislav Hinkov;4.0
Daniel Riedrich;4.0
David Koch;4.0
Mathieu Adovi-Ley;4.0
Jan Dübener;4.0
Viktor Lukic-Gavric;4.0
Marko Masic;3.9
Alexander Vourliotis;3.9
Detwan Andrews;3.8
Didier Alphonse Mbida Mengue;3.8
Jarne Jürgens;3.7
Anton Nufer;3.7
Benno Wolf;3.6
Jug Bogdan;3.6
Nikolas Sermpezis;3.6
Jack Kayil;3.6
Johann Helwig;3.6
Tim Schnelle;3.6
Mathéo Hermann;3.6
Julis Baumer;3.5
Laurenz Wulf;3.5
Leon Anbinder;3.5
Luca Kellig;3.5
Miran Evin;3.5
Ognjen Cocic;3.4
Calin Nita;3.4
Joshua Bonga;3.4
Colin Hartig;3.4
Lars Kremer;3.4
Damarae Osazuwa Simson;3.3
Aleksandar Zecevic;3.3
Karl Johan Vändra;3.3
Joshua Sievers;3.3
Leonard Dertmann;3.3
Armin Durakovic;3.2
Richard Schmitt;3.1
Paul Luis Schwabe;3.1
Tom Brüggemann;3.1
Louis Jakob Sutor;3.0
Isaiah Javante Batiste;3.0
Paul Viefhues;3.0
Yannick Mogalle;3.0
Igor Jokic;3.0
Alfred Milatz;2.9
Jayden Estrus Jr. Fatnassi;2.9
Neo Krizanovic;2.9
Lennard Glowka;2.8
Noah-Oliver Okah;2.8
Jenö Pildner;2.7
Jonathan Paul Zeisberger;2.7
Philip Schneck;2.7
Paul Bahn;2.6
Maximilian zur Linde;2.6
Justus Waller;2.6
Jonah Lindemann;2.6
Max Emil Weber;2.6
Edwin Krzeminski;2.6
Niklas Bertram;2.5
Jordan Knacke;2.5
Maj Dolinsek;2.5
Finn Paris;2.5
Norwin Gumbinger;2.4
Leonard Jan Gausa;2.4
Martin Geuther;2.4
Finn Stuhlmeyer;2.4
Finn Schwaiger;2.4
Jonas Mendl;2.3
Silian Felix Bonacker;2.3
Hendrik Metsa;2.3
Eren Simbil;2.3
Luca May;2.3
Maximilian Eichbaum;2.3
Mika Kröner;2.3
Till Heyne;2.3
Cheikh Oumar Doucoure;2.3
Jayson Pfannenstiel;2.3
Finn-Friedrich Flasche;2.3
Caspar Chima Okoro;2.3
Daniel Hinkov;2.2
Koray Grenz;2.2
