Player;Steals
Lukas Modic;8.0
Leon Anbinder;6.3
Jack Kayil;4.1
Joscha Eckert;3.7
Philip Schneck;3.0
Jannis Ridder;3.0
Jenö Pildner;3.0
Karl Bühner;2.8
Simon Feneberg;2.7
Emanuel Mpacko;2.7
Tom Brüggemann;2.7
Sebastian Schwachhofer;2.6
Calin Nita;2.5
Simon Kohlhoff;2.3
Jared Grey;2.3
Dusan Nikolic;2.0
Edin Redzepovic;2.0
Luca Kellig;2.0
Martin Geuther;2.0
Jeremy Julian Kolev;2.0
Viktor Ludviksson;2.0
Amon Levi Dörries;1.8
Lars Kremer;1.8
Ivan Kharchenkov;1.8
Miran Evin;1.7
Mats Niggemann;1.7
Paul Bahn;1.7
Maximilian zur Linde;1.7
Ben Lenhardt;1.7
Gaston Nguyen Manh;1.7
Travis Davis;1.7
Tobias Drochner;1.7
Desmond Yiamu;1.6
Abdulhay Kömürkara;1.6
Mathéo Hermann;1.5
Paul Viefhues;1.5
Esli Edigin;1.4
Michel Schillmöller;1.4
Luka Pesic;1.4
Noah Slingerland;1.4
Noah Koch;1.4
Johann Helwig;1.4
Emil Bode;1.3
Ruomi Walter;1.3
Janis Jünemann;1.3
Andrej Milutinovic;1.3
Nicola Schultze;1.3
Joshua Bonga;1.3
Julis Baumer;1.2
Moritz Grüß;1.2
Martin Kalu;1.2
Lukas Mutter;1.2
Noah-Oliver Okah;1.2
Jeremey Jason Wontroba;1.2
Linus Trettin;1.2
Johann Grau;1.0
Jorke Aav;1.0
Philipp Roos;1.0
Jamie Camron Edoka;1.0
Jug Bogdan;1.0
Matija Milosevic;1.0
Lennard Glowka;1.0
Darijo Kopilovic;1.0
Raul Dumnici;1.0
Thore Dilschmann;1.0
Ivan Crnjac;1.0
Marko Masic;1.0
Oskar Humpert;1.0
Jermaine Fleck;1.0
Paul Levi Urban;1.0
Giuliano Aufiero;1.0
Dorian Grosber;1.0
Linus Ruf;1.0
Raphael Falkenthal;1.0
Hendrik Metsa;1.0
Colin Schroeder;1.0
Niklas Müller;1.0
Marvin Eßer;1.0
Igor Jokic;1.0
Nevio Bennefeld;1.0
Callum Macaulay;1.0
David Koch;1.0
Ivan Volf;0.8
Leon Amadou Geißler;0.8
Aksel Laso;0.8
Jonathan Paul Zeisberger;0.8
Tim Nocke;0.8
Ognjen Cocic;0.8
Erik Larsen;0.7
Stanislav Hinkov;0.7
Marijan Krstonic;0.7
Niels Dübener;0.7
Pablo Schmidt;0.7
Clemens Sokolov;0.7
Jannis Grußendorf;0.7
Matteo Petters;0.6
Moek Icke;0.6
Richard Schmitt;0.6
Elias Nold;0.6
Edwin Krzeminski;0.5
Tim Otto;0.5
Muhamad-Adel Soumare Medford;0.5
Caspar Chima Okoro;0.5
Jarne Jürgens;0.5
Anton Nufer;0.5
Joscha Zentgraf;0.5
Colin Hartig;0.5
Lukas Klein;0.5
Namori Omog;0.5
Jonas Pohle;0.5
Leonhard Laar;0.5
Paul Schmorleiz;0.5
Bennett Spree;0.5
Leif Zentgraf;0.5
Dre Odeh;0.4
Lazar Klaric;0.4
Johann Grünloh;0.3
Ben Denkena;0.3
Max Emil Weber;0.3
Daniel Biel;0.3
Joel Mbappou;0.3
Jayson Roth;0.3
Tim Schnelle;0.3
Leopold Schmidt;0.3
Ben-Luca Port;0.3
Leander Nzume;0.3
Marko Petric;0.3
Daniel Riedrich;0.3
Alen Blakaj;0.3
Paul Manuel Raabe;0.2
Leo Hylla;0.2
Nikolas Sermpezis;0.2
Yannis Steger;0.2
Johannes Hellmann;0.1
Djairo Bernardina;0.1
Jakub Klobusiak;0.0
Julijo Kendes;0.0
Henrik Besch;0.0
Lukas Wiegeler;0.0
Timon Hoffmann;0.0
Benjamin Koppke;0.0
Olisaemeka Williams Itumo;0.0
Silver Bieling;0.0
Jasper Brand;0.0
Maxim Klanten;0.0
Tim-Felix Bühren;0.0
Joshua Sievers;0.0
Leonard Dertmann;0.0
Finn Schwaiger;0.0
Alfred Milatz;0.0
Teis Hümmels;0.0
John Hubertus Kropp;0.0
Luca May;0.0
Jakob Lang;0.0
