Player;Steals
Ivan Kharchenkov;4.0
Tin Udovicic;3.3
Jack Kayil;3.2
Lukas Modic;3.1
Viktor Lukic-Gavric;3.0
Sebastian Schwachhofer;2.8
Noé Bom;2.7
Simon Kohlhoff;2.7
Anton Meyer;2.5
Nelson Martin;2.5
Raphael Falkenthal;2.5
Ivan Volf;2.5
Matija Milosevic;2.5
Martin Geuther;2.4
Noah Koch;2.4
Lars Kremer;2.4
Leon Anbinder;2.3
Dre Odeh;2.3
Igor Jokic;2.3
Jannis Grußendorf;2.3
Johann Helwig;2.2
Karl Bühner;2.2
Jannis Ridder;2.1
Jared Grey;2.1
Detwan Andrews;2.1
Jonte Elias Heßling;2.0
Leander Werner;2.0
Louis Jakob Sutor;2.0
Paul Viefhues;2.0
Thore Dilschmann;1.9
Till Heyne;1.9
Philip Schneck;1.8
Dorian Grosber;1.8
Darren Egbe;1.8
Paul Manuel Raabe;1.8
Linus Trettin;1.8
Joshua Bonga;1.8
Ben-Luca Port;1.8
Kristian Ortelli;1.7
Desmond Yiamu;1.7
Jorke Aav;1.7
Tom Brüggemann;1.7
Mats Niggemann;1.7
Julis Baumer;1.7
Stanislav Hinkov;1.7
Eren Simbil;1.7
Nikolas Sermpezis;1.6
Viktor Ludviksson;1.6
Moritz Grüß;1.5
Aksel Laso;1.5
Laurenz Wulf;1.5
Jonah Lindemann;1.5
Lazar Klaric;1.5
Paul Bahn;1.5
Marko Masic;1.5
Justus Waller;1.5
Djairo Bernardina;1.5
Amon Levi Dörries;1.5
Radouan Aberkane;1.4
Travis Davis;1.4
Damarae Osazuwa Simson;1.4
Lennard Glowka;1.4
Jonathan Paul Zeisberger;1.4
Moek Icke;1.4
Jenö Pildner;1.4
Finn Schwaiger;1.4
Bennett Spree;1.3
Timon Gotsis;1.3
Pedja Labus;1.3
Luca Kellig;1.3
Michel Schillmöller;1.3
Anton Nufer;1.3
Felix Zacharias;1.3
Didier Alphonse Mbida Mengue;1.3
Alexander Vourliotis;1.3
Neo Krizanovic;1.2
Jakob Lang;1.2
Calin Nita;1.2
Bruno Jacob Wollmann;1.2
Mika Kröner;1.2
Hendrik Metsa;1.2
Linus Ruf;1.2
Dominik Dolic;1.2
David Koch;1.2
Jeremy Julian Kolev;1.1
Daniel Biel;1.1
Armin Durakovic;1.1
Christian Mann;1.1
Matteo Petters;1.1
Lennox Groh;1.1
Callum Macaulay;1.1
Johannes Hellmann;1.1
Nevio Bennefeld;1.1
Pablo Estelle;1.1
Yannis Steger;1.1
Ari von Wiegen;1.0
Epke Kruthaup;1.0
Esli Edigin;1.0
Noah Slingerland;1.0
Tim Otto;1.0
Noe Baucks;1.0
Noah Bakker;1.0
Benjamin Jeß;1.0
Elias Nold;1.0
Jeremey Jason Wontroba;1.0
Tim Nocke;1.0
Cheikh Oumar Doucoure;1.0
Danas Kazakevicius;1.0
Jordan Juel Lockhart;1.0
Abdulhay Kömürkara;1.0
Jan Mausolf;1.0
Robin Kurr;1.0
Tim Schnelle;0.9
Oskar Humpert;0.9
Ognjen Cocic;0.9
Finn Paris;0.9
Fynn Thure Benzel;0.9
Jannis Rümer;0.9
