Player;Steals
Lukas Modic;8.0
Desmond Yiamu;3.0
Simon Kohlhoff;2.5
Jack Kayil;2.5
Luka Pesic;2.0
Sebastian Schwachhofer;2.0
Martin Kalu;2.0
Joshua Bonga;2.0
Julis Baumer;2.0
Abdulhay Kömürkara;2.0
Miran Evin;1.5
Noah Slingerland;1.5
Karl Bühner;1.5
Djairo Bernardina;1.0
Ivan Kharchenkov;1.0
Moritz Grüß;1.0
Johann Helwig;1.0
Ivan Volf;1.0
Colin Schroeder;1.0
Linus Trettin;0.5
Johann Grünloh;0.5
Tim Nocke;0.5
Sebastian Kuhn;0.0
Ben Denkena;0.0
Igor Jokic;0.0
Jarne Jürgens;0.0
Noah Koch;0.0
Dominik Dolic;0.0
Bennett Spree;0.0
Elias Nold;0.0
Moek Icke;0.0
Stanislav Hinkov;0.0
Nikolas Sermpezis;0.0
Jannis Grußendorf;0.0
Johannes Hellmann;0.0
Esli Edigin;0.0
Lazar Klaric;0.0
Matteo Petters;0.0
Leander Nzume;0.0
Michel Schillmöller;0.0
Marko Masic;0.0
Marko Petric;0.0
